    710-20TN	   17Lift 10-20 Tonnes	   17Lift 10-20 Tonnes	    0	   17Lift 10-20 Tonnes	          324	24-jul-2000 17:09:21     	                         	                         	    6he2441	    0	    0	    1A
    2FT	   18<PopsDel>FIX TRANS	    6FIXING	    0	    6FIXING	          126	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4GANG	   13<PopsDel>GANG	    4GANG	    4HOUR	    7GANG/HR	          127	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3GEN	   23General Cargo by Weight	   20General Cargo Tonnes	    0	   20General Cargo Tonnes	          128	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3GRT	   12Gross Tonnes	   12Gross Tonnes	    0	   12Gross Tonnes	          129	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    2GT	   19<PopsDel>GROSS TONS	   10GROSS TONS	    0	   10GROSS TONS	          130	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    1H	   18<PopsDel>HALF YEAR	    1.	    0	    1.	          131	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4H3.5	   21<PopsDel>3.5-4.0 MTRS	    9HALF YEAR	    0	    9HALF YEAR	          132	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4H4.0	   21<PopsDel>4.0-4.5 MTRS	    9HALF YEAR	    0	    9HALF YEAR	          133	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4H4.5	   21<PopsDel>4.5-5.5 MTRS	    9HALF YEAR	    0	    9HALF YEAR	          134	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4H5.5	   21<PopsDel>5.5-6.0 MTRS	    9HALF YEAR	    0	    9HALF YEAR	          135	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4H6.0	   21<PopsDel>6.0-7.5 MTRS	    9HALF YEAR	    0	    9HALF YEAR	          136	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4H7.5	   21<PopsDel>7.5-9.0 MTRS	    9HALF YEAR	    0	    9HALF YEAR	          137	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4H9.0	   20<PopsDel>>9.0 METRES	    9HALF YEAR	    0	    9HALF YEAR	          138	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3HAU	   12Hauraki Hire	   12Hauraki Hire	    0	   12Hauraki Hire	          139	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    2HB	   21<PopsDel>HOURLY BONUS	    5HOURS	    0	    5HOURS	          140	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2HH	   11Hourly Hire	    5Hours	    0	    5Hours	          141	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3HHT	   20<PopsDel>HOURLY HIRE	    8TRAILERS	    5HOURS	    9TRAIL/HRS	          142	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3HOL	   19<PopsDel>PENAL RATE	    6TONNES	    0	    6TONNES	          143	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4HOUR	    4Hour	    4Hour	    0	    4Hour	          144	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4HPLT	   20<PopsDel>HALF PALLET	    81/2 PLTS	    0	    81/2 PLTS	          145	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2HR	   13<SpkDel>HOURS	    5HOURS	    0	    5HOURS	          146	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3HRS	    5Hours	    5Hours	    0	    5Hours	          147	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4HSTS	   11Hoist Hours	    6Hoists	    5Hours	   11Hoist Hours	          148	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3HWC	   11HIRE W/CREW	    9HR W/CREW	    0	    9HR W/CREW	          149	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    2IN	   20Inwards Gross Tonnes	   20Inwards Gross Tonnes	    0	   20Inwards Gross Tonnes	          150	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4INST	   21<PopsDel>INSTALLATION	   12INSTALLATION	    0	   12INSTALLATION	          151	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4JPCK	   10Jumbo Pack	   10Jumbo Pack	    0	   10Jumbo Pack	          152	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    2KA	    9Kaha Hire	    9Kaha Hire	    0	    9Kaha Hire	          153	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    2KG	   18<PopsDel>Kilograms	    9KILOGRAMS	    0	    9KILOGRAMS	          154	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3KLS	   18<PopsDel>KLEENSAKS	    9KLEENSAKS	    0	    9KLEENSAKS	          155	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2KU	   12Kumenga Hire	   12Kumenga Hire	    0	   12Kumenga Hire	          156	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4L1-2	   21<PopsDel>LIFT 1-2 TON	    5LIFTS	    0	    5LIFTS	          162	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4L1-3	   21<PopsDel>LIFT 1-3 TON	    5LIFTS	    0	    5LIFTS	          163	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4L2-3	   21<PopsDel>LIFT 2-3 TON	    5LIFTS	    0	    5LIFTS	          164	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4L2-4	   21<PopsDel>LIFT 2-4 TON	    5LIFTS	    0	    5LIFTS	          165	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4L3-4	   21<PopsDel>LIFT 3-4 TON	    5LIFTS	    0	    5LIFTS	          166	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4L3-5	   21<PopsDel>LIFT 3-5 TON	    5LIFTS	    0	    5LIFTS	          167	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4L4-5	   21<PopsDel>LIFT 4-5 TON	    5LIFTS	    0	    5LIFTS	          168	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4L4-8	   21<PopsDel>LIFT 4-8 TON	    5LIFTS	    1.	    5LIFTS	          169	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4L5-6	   21<PopsDel>LIFT 5-6 TON	    5LIFTS	    0	    5LIFTS	          170	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4L5-8	   21<PopsDel>LIFT 5-8 TON	    5LIFTS	    0	    5LIFTS	          171	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4L8-1	   21<PopsDel>LIFT 8-11 TN	    5LIFTS	    0	    5LIFTS	          172	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3L<1	   20<PopsDel>LIFT <1 TON	    5LIFTS	    0	    5LIFTS	          157	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3L<2	   21<PopsDel>LIFT < 2 TON	    5LIFTS	    0	    5LIFTS	          158	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4L>11	   21<PopsDel>LIFT >11 TON	    5LIFTS	    0	    5LIFTS	          159	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3L>5	   20<PopsDel>LIFT >5 TON	    5LIFTS	    0	    5LIFTS	          160	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3L>6	   20<PopsDel>LIFT >6 TON	    5LIFTS	    0	    5LIFTS	          161	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3LAM	   11Lane Metres	   11Lane Metres	    0	   11Lane Metres	          315	07-mar-2000 12:27:34     	                         	                         	    6he2441	    0	    0	    1A

    4LIFT	    4Lift	    5Lifts	    0	    5Lifts	          173	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4LINE	   13<PopsDel>LINE	    5LINES	    0	    5LINES	          174	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2LM	   20<PopsDel>LINEAR MTRS	   10LINEAR MTR	    0	   10LINEAR MTR	          175	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4LMAN	    8Linesman	    8Linesman	    0	    8Linesman	          176	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4LOGR	   15<PopsDel>LOGGER	    6LOGGER	    0	    6LOGGER	          177	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4LPCK	    9Long Pack	    9Long Pack	    0	    9Long Pack	          178	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    2LR	   21<PopsDel>LABOUR RATES	   12LABOUR RATES	    0	   12LABOUR RATES	          179	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4LTAX	   21<PopsDel>LTAX SCHARGE	    4LTAX	    0	    4LTAX	          180	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3LTR	    6Litres	    6Litres	    0	    6Litres	          181	10-nov-1999 15:32:50     	26-nov-1999 15:21:05     	26-nov-1999 15:21:05     	    4load	    6he2441	    6he2441	    1I

    4LTRS	   111000 Litres	   111000 Litres	    0	   111000 Litres	          182	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    1M	    6Manual	    6Manual	    0	    6Manual	          183	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3M-F	   21<PopsDel>SHIFT MON-FR	    3MEN	    0	    3MEN	          184	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3M/S	   21<PopsDel>METER SUPPLY	    5UNITS	    0	    5UNITS	          185	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2M1	   21<PopsDel>MEAL WEEKDAY	    4MEAL	    0	    4MEAL	          186	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2M2	   21<PopsDel>MEAL WEEKEND	    4MEAL	    0	    4MEAL	          187	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2M3	   12Cubic Metres	   12Cubic Metres	    0	   12Cubic Metres	          188	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    2MA	    9Mana Hire	    9Mana Hire	    0	    9Mana Hire	          189	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4MACH	   18<PopsDel>MACHINERY	    9MACHINERY	    0	    9MACHINERY	          190	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3MAN	   12Manukau Hire	   12Manukau Hire	    0	   12Manukau Hire	          191	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4MANH	    9Man Hours	    3Men	    5Hours	    9Man Hours	          321	15-jun-2000 14:57:21     	                         	                         	    6he2441	    0	    0	    1A

    4MANJ	   21<PopsDel>TUG JOBS MAN	    4JOBS	    0	    4JOBS	          192	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3MAX	   23<JHH Del>Maximum Charge	   14Maximum Charge	    0	   14Maximum Charge	          193	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4MECH	   19<PopsDel>MECHANICAL	    3MEN	    5HOURS	    9MEN/HOURS	          194	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3MEN	    3Men	    3Men	    0	    3Men	          195	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4MFHR	   12SHIFT MON-FR	    5HOURS	    0	    5HOURS	          196	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4MILK	   19<PopsDel>MILKPOWDER	    6TONNES	    0	    6TONNES	          197	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3MIN	   23<JHH Del>Minimum Charge	   14Minimum Charge	    0	   14Minimum Charge	          198	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4MIN2	   21<PopsDel>MINIMUM 20FT	    420FT	    0	    420FT	          199	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4MIN4	   21<PopsDel>MINIMUM 40FT	    440FT	    0	    440FT	          200	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4MINN	   15<SpkDel>PACKAGE	    6NIGHTS	    0	    6NIGHTS	          201	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4MINS	   15<SpkDel>MINUTES	    7MINUTES	    0	    7MINUTES	          202	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4MINT	   19<SpkDel>PACKAGE T/S	    6NIGHTS	    0	    6NIGHTS	          203	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4MISC	   13Miscellaneous	   13Miscellaneous	    0	   13Miscellaneous	          204	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3MOB	    7Mobiles	    7Mobiles	    0	    7Mobiles	          205	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3MON	   14Monthly Charge	   14Monthly Charge	    0	   14Monthly Charge	          206	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4MOVE	    9Ship Move	    9Ship Move	    0	    9Ship Move	          207	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4MOWR	   14<PopsDel>MOWER	    5MOWER	    0	    5MOWER	          208	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2MR	   12MONTHLY RATE	    7VESSELS	    0	    7VESSELS	          209	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2MS	   12Meter Supply	   111000 Litres	    0	   111000 Litres	          210	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3MSO	   21<PopsDel>MET SUP MKAU	    71000LTR	    0	    71000LTR	          211	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3MTH	   14Monthly Charge	   14Monthly Charge	    0	   14Monthly Charge	          212	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4MTNC	   11Maintenance	   11Maintenance	    0	   11Maintenance	          213	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3MTR	   13Linear Metres	   13Linear Metres	    0	   13Linear Metres	          214	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4MTRE	   21<PopsDel>METRE / QTRE	    5METRE	    0	    5METRE	          215	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3MXN	   15Nightly M3 Rate	   12Cubic Metres	    6Nights	   12Metre/Nights	          216	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3MXS	   14Weekly M3 Rate	   12Cubic Metres	    5Weeks	   11Metre/Weeks	          217	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3MXT	   18<SpkDel>NIGHTS T/S	   10CUB METRES	    6NIGHTS	   10MTR/NIGHTS	          218	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3MXW	   20<PopsDel>WEEKLY RATE	   10CUB METRES	    5WEEKS	    9MTR/WEEKS	          219	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    1N	    4None	    9No Charge	    0	    9No Charge	          220	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3NEW	   16<SpkDel>NEW CARS	    7NEW CAR	    0	    7NEW CAR	          221	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3NGT	    6Nights	    6Nights	    0	    6Nights	          222	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3NIL	    9NO CHARGE	    9NO CHARGE	    0	    9NO CHARGE	          223	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    2NT	   11Nett Tonnes	   11Nett Tonnes	    0	   11Nett Tonnes	          224	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4O/PE	   17<PopsDel>EXPENSES	    8EXPENSES	    0	    8EXPENSES	          225	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3O/T	   17<PopsDel>OVERTIME	    5HOURS	    1.	    5HOURS	          226	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3OLD	   10OLD METHOD	   10Old method	    0	   10Old Method	          227	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3OMS	   21<PopsDel>M-S 1730-730	    5TONNE	    6TONNES	    6TONNES	          228	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3ONE	   17<PopsDel>ONEHUNGA	    1.	    0	    1.	          229	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3ORD	   13Ordinary Time	    5Hours	    0	    5Hours	          230	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4OSAT	   21<PopsDel>SAT 730-1200	    6TONNES	    6TONNES	    6TONNES	          231	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3OSH	   21<PopsDel>OUTSIDE HIRE	    5QUOTE	    5QUOTE	    5QUOTE	          232	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3OTO	   19<PopsDel>SAT SUN PH	    6TONNES	    6TONNES	    6TONNES	          233	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3OUT	   20Outward Gross Tonnes	   20Outward Gross Tonnes	    0	   20Outward Gross Tonnes	          234	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    1P	    7Periods	    7Periods	    0	    7Periods	          235	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4PACK	    5Packs	    5Packs	    0	    5Packs	          236	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4PAGE	   13<PopsDel>PAGE	    4PAGE	    0	    4PAGE	          237	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4PALD	   20<PopsDel>D/TIME RATE	    6TONNES	    0	    6TONNES	          238	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4PALO	   21<PopsDel>PALLET CARGO	    6TONNES	    0	    6TONNES	          239	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4PALT	   20<PopsDel>T/HALF RATE	    6TONNES	    0	    6TONNES	          240	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    6PKGSBA	   20<PopsDel>PACKAGE SBA	    5WEEKS	    0	   14WEEKS was MINS	          241	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4PLAT	   21<PopsDel>PLATFORM HIR	    4DAYS	    0	    4DAYS	          242	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3PLT	   21<PopsDel>PLT NTLY RTE	    5UNITS	    6NIGHTS	    6NIGHTS	          243	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4PLTS	    7Pallets	    7Pallets	    0	    7Pallets	          244	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4POWE	   20<PopsDel>400V AC PWR	    5UNITS	    0	    5UNITS	          245	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2PS	   19<PopsDel>PILOT SER.	    8SERVICES	    0	    8SERVICES	          246	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3PUB	   21<PopsDel>SHFT PUB HOL	    3MEN	    0	    3MEN	          247	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4PUHR	   21<PopsDel>SHFT PUB HOL	    5HOURS	    0	    5HOURS	          248	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2PW	    8Per Week	    5Weeks	    0	    5Weeks	          249	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    1Q	    8Quarters	    7Quarter	    0	    7Quarter	          250	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    2QR	   19<PopsDel>QTRLY RATE	    7QUARTER	    0	    7QUARTER	          251	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4REEL	    4Reel	    4Reel	    0	    4Reel	          317	26-apr-2000 11:28:41     	                         	                         	    6cr2772	    0	    0	    1A

    3REP	   16<PopsDel>REPORTS	    7REPORTS	    0	    7REPORTS	          252	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2RO	   12Rotorua Hire	   12Rotorua Hire	    0	   12Rotorua Hire	          307	10-dec-1999 14:33:30     	                         	                         	    6he2441	    0	    0	    1A

    3S10	   21<PopsDel>10.5-13.5 MT	    4DAYS	    0	    4DAYS	          254	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3S13	   21<PopsDel>>13.5 METRES	    4DAYS	    0	    4DAYS	          255	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4S4.0	   21<PopsDel>4.0-4.5 MTRS	    4DAYS	    0	    4DAYS	          256	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4S4.5	   21<PopsDel>4.5-5.5 MTRS	    4DAYS	    0	    4DAYS	          257	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4S5.5	   21<PopsDel>5.5-6.5 MTRS	    4DAYS	    0	    4DAYS	          258	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4S6.5	   21<PopsDel>6.5-7.5 MTRS	    4DAYS	    0	    4DAYS	          259	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4S7.5	   21<PopsDel>7.5-9.0 MTRS	    4DAYS	    0	    4DAYS	          260	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4S9.0	   21<PopsDel>9.0-10.5 MTS	    4DAYS	    0	    4DAYS	          261	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3S<4	   20<PopsDel><4.0 METRES	    4DAYS	    0	    4DAYS	          253	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2SC	   19<PopsDel>SHIP CALLS	    5CALLS	    0	    5CALLS	          262	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2SF	   11SERVICE FEE	   10GROSS TONS	    0	   10GROSS TONS	          263	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4SHFT	    6Shifts	    6Shifts	    0	    6Shifts	          264	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3SHT	   13<SpkDel>SHEET	    6SHEETS	    0	    6SHEETS	          265	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3SLP	   17<PopsDel>REST DAY	    3MEN	    0	    3MEN	          266	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4SPEC	   19<PopsDel>SPECIAL IP	    3MEN	    5HOURS	    9MEN/HOURS	          267	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3SQM	   17<SpkDel>SQ. METRE	    4SQ.M	    0	    4SQ.M	          268	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3SUB	   21<PopsDel>SUBSQ NIGHTS	    5UNITS	    6NIGHTS	    6NIGHTS	          269	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4SUBC	   21<PopsDel>SUB. COLLECT	   10COLLECTION	    0	   10COLLECTION	          270	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4SUBD	   20<PopsDel>SUBSEQ DAYS	    4DAYS	    0	    4DAYS	          271	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4SUBP	   21<PopsDel>SUBSQ NIGHTS	    5UNITS	    6NIGHTS	    6NIGHTS	          272	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4SUBV	   19<PopsDel>SUB. VISIT	   10GROSS TONS	    0	   10GROSS TONS	          273	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2TA	   11Tamaki Hire	   11Tamaki Hire	    0	   11Tamaki Hire	          274	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3TAG	   15Weighbridge Tag	   15Weighbridge Tag	    0	   16Weighbridge Tags	          351	31-oct-2000 15:12:32     	31-oct-2000 15:12:33     	                         	    6he2441	    6he2441	    0	    1A

    4TAXI	    5TAXIS	    5TAXIS	    0	    5TAXIS	          275	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2TE	   14Te Awhina Hire	   14Te Awhina Hire	    0	   14Te Awhina Hire	          276	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4TERE	   16Launch Tere Hire	    9Tere Hire	    0	    9Tere Hire	          277	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3TEU	   2020FT Equivalent Unit	    3TEU	    0	    3TEU	          278	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4TEUD	    8TEU Days	    3TEU	    4Days	    8TEU/Days	          319	24-may-2000 11:00:58     	                         	                         	    6he2441	    0	    0	    1A

    2TH	   20<PopsDel>TIME & HALF	    5HOURS	    0	    5HOURS	          279	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2TI	    9Tika Hire	    9Tika Hire	    0	    9Tika Hire	          280	10-nov-1999 15:32:50     	14-jan-2000 14:36:00     	                         	    4load	    6he2441	    0	    1A

    4TICK	    7Tickets	    7Tickets	    0	    7Tickets	          281	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4TIKA	    9Tika Hire	    9Tika Hire	    0	    9Tika Hire	          282	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4TIMB	    6TIMBER	    2M3	    0	    2M3	          283	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2TN	    6Tonnes	    6Tonnes	    0	    6Tonnes	          284	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4TRAN	   19<PopsDel>TRANS HIRE	    4DAYS	    0	    4DAYS	          285	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4TRAV	    6TRAVEL	    3MEN	    0	    3MEN	          286	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4TRCK	    6Trucks	    6Trucks	    0	    6Trucks	          287	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4TRCS	   17<PopsDel>TRACTORS	    8TRACTORS	    5HOURS	    9TRACT HRS	          288	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    6TRKHRS	   15<PopsDel>TRUCKS	    6TRUCKS	    5HOURS	    9TRUCK HRS	          289	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2TT	   20<PopsDel>TREBLE TIME	    5HOURS	    0	    5HOURS	          290	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3TXN	   15Nightly TN Rate	    6Tonnes	    6Nights	   12Tonne/Nights	          291	10-nov-1999 15:32:50     	02-dec-1999 16:33:02     	                         	    4load	    6he2441	    0	    1A

