            7	    51.5.6	   27<PopsDel>CRANE WAITING TIME	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          628	    6B251EX	   13AGRICULT MACH	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          643	    6B259IM	    9MACHINERY	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          666	    6B271EX	   18<PopsDel>FURNITURE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          680	    6B278EX	   24<PopsDel>METAL STRUCTURE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          689	    6B283EX	   23<PopsDel>CONTAINERS,CNK	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          707	    6B293EX	   21<PopsDel>RADIO,TV ETC	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          730	    6B320EX	   12LAUNCH/YACHT	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          744	    6B397EX	   28<PopsDel>EXPORT TRANSHIPMENT	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          753	    6B510IM	   23Dairy Products - Import	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          777	    6B540IM	   24Cement Products - Import	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          784	    6B565EX	   23Steel Products - Export	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          802	    5E5100	   20ELECTRICITY S/STN FX	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          827	    5E6430	   15CLEANING LABOUR	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          841	    5E6831	   29<PopsDel>MARSHALLING KIWI 1-2	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          848	    2EX	   12EXPORT CARGO	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	13-dec-1999 09:18:18     	13-dec-1999 09:18:18     	    4load	    6he2441	    6he2441	    1I

          866	    6F8110L	   16CONT/LIFT EXPORT	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          891	    5F8316	   33Hoist 7.1 to 11 Tonne with Driver	    0	    1Y	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          908	    5F8530	    6HOPPER	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          917	    5F8717	   11SHED CHARGE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          935	    5F8900	   14Generator Move	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          958	    3IOM	   29<CorpDel>INSPECTOR OF MACHINE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          972	    5PLU L	   24<PopsDel>PLUMBERS LABOUR	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          981	    5R0005	   24<PopsDel>WATER >400,000L	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          999	    5R0023	   19<PopsDel>SHIP WHFGE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

         1022	    6S71.2U	   1140FT UNPACK	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-oct-2000              	10-nov-1999              	09-nov-2000 16:34:10     	                         	    4load	    6he2441	    0	    1A

         1031	    6S73.21	   2020FT FULL UNPACK/PCK	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-oct-2000              	10-nov-1999              	09-nov-2000 16:36:33     	                         	    4load	    6he2441	    0	    1A

         1054	    5S74.8	   18Hazardous Stickers	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	09-nov-2000 16:49:34     	                         	    4load	    6he2441	    0	    1A

         1068	    5S8.17	   18B/BULK KRAFT PAPER	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-oct-2000              	10-nov-1999              	09-nov-2000 16:42:16     	                         	    4load	    6he2441	    0	    1A

         1077	    6S8.52U	   19<SpkDel>40FT UNPACK	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

         1118	    6B385IM	   14Vehicles - New	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	15-dec-1999 19:14:04     	15-dec-1999 19:14:04     	    4load	    6he2441	    6he2441	    1I

         1132	    6B268EX	   10CARS -USED	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-1999              	29-dec-1999 08:21:30     	                         	                         	    6he2441	    0	    0	    1A

         1141	    6B393IM	   33Vehicles Used 14M3 to 18M3 Import	    0	    1N	    1S	    1B	    0	     0	01-jan-2000              	31-dec-2099              	05-jan-2000 12:53:38     	                         	                         	    6mo2719	    0	    0	    1A

         1154	    49LH1	   31Labour 1st Shift Public Holiday	    0	    1N	    1S	    1B	    0	     0	01-jan-2000              	31-dec-2099              	10-feb-2000 11:24:53     	                         	                         	    6he2441	    0	    0	    1A

         1179	    49ZCV	   27Volume Discount - Container	    0	    1N	    1S	    1A	    1G	     1	01-nov-2000              	31-dec-2099              	24-jul-2000 14:26:56     	08-nov-2000 12:24:47     	                         	    6he2441	    6he2441	    0	    1A

         1193	    66YB.FF	   35Fumigate Break Bulk Facility Charge	    8FACILITY	    1N	    1S	    1B	    0	     0	01-jul-2000              	31-dec-2099              	27-jul-2000 17:14:22     	                         	                         	    6he2441	    0	    0	    1A

         1200	    5E6081	   33Rental - Building - Reefer Repair	    0	    1N	    1S	    1B	    0	     0	01-jul-2000              	31-dec-2099              	31-jul-2000 11:35:20     	31-jul-2000 11:41:24     	                         	    6he2441	    6he2441	    0	    1A

         1218	    5F8203	   36Shuttle & Lift  - Container Transfer	    0	    1N	    1S	    1B	    0	     0	01-jun-2000              	31-dec-2099              	17-oct-2000 14:45:57     	                         	                         	    6cr2772	    0	    0	    1A

            1	    51.5.1	   20Break Bulk < 5 Tonne	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	26-jul-2000              	10-nov-1999              	27-jul-2000 14:38:44     	                         	    4load	    6he2441	    0	    1A

           24	    51DVRG	   23Wharfage - RORO DLR Car	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	27-jun-2000 17:12:35     	                         	    4load	    6he2441	    0	    1A

           42	    41SSR	   20RORO Discharge Steel	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	26-jun-2000 17:45:21     	                         	    4load	    6he2441	    0	    1A

           51	    31SY	   15Discharge Yacht	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	24-jul-2000 13:52:40     	24-jul-2000 13:52:40     	    4load	    6he2441	    6he2441	    1I

           65	    32DC	   18DLR Load Container	    6RESHIP	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	15-dec-1999 10:05:27     	                         	    4load	    6br2464	    0	    1A

           88	    42SDR	   15RORO Load Dairy	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	24-jul-2000 13:53:13     	24-jul-2000 13:53:13     	    4load	    6he2441	    6he2441	    1I

          106	    52TCRO	   32RORO Tranship Load Container O/D	    6T/LOAD	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	28-jun-2000 17:35:33     	                         	    4load	    6he2441	    0	    1A

          115	    43SCR	   29RORO Shift-on-Board Container	    3SOB	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	26-jun-2000 17:52:39     	                         	    4load	    6he2441	    0	    1A

          132	    65YC.AE	   31Export Rail Deliver - Container	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	31-jul-2000 13:08:42     	                         	    4load	    6he2441	    0	    1A

          157	    66YC.LF	   16Move to Fumigate	    8FACILITY	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	27-jul-2000 17:21:51     	                         	    4load	    6he2441	    0	    1A

          175	    28N	   193rd Shift Surcharge	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          182	    69.6.3L	   29<PopsDel>RORO <50M3 VECH LOAD	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          196	    29M	   23Miscellaneous Materials	    4MISC	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	31-jul-2000 12:33:59     	                         	    4load	    6he2441	    0	    1A

          221	    5A8109	   23Towage 25001-30000 Tons	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	22-jun-2000 17:31:43     	                         	    4load	    6he2441	    0	    1A

          239	    5A9261	   10ARAHI HIRE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          246	    5A9313	   20Berthage - Per Visit	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	26-jun-2000 17:58:02     	                         	    4load	    6he2441	    0	    1A

          270	    6B002EX	    8WET FISH	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          279	    6B007EX	   20<PopsDel>FISH PREPNS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          293	    6B015EX	   23<PopsDel>MEAT,PRESERVED	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          316	    6B028IM	   24<PopsDel>SHORTENING COMP	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          334	    6B042EX	   13<PopsDel>MALT	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          343	    6B046IM	   24<PopsDel>CEREAL PRODUCTS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          357	    6B060EX	   23<PopsDel>SUGAR,BULK RAW	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          380	    6B076EX	   21<PopsDel>FRUIT,FROZEN	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          395	    6B084EX	   21<PopsDel>COCOA PREPNS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          402	    6B087IM	   22<PopsDel>ALES AND BEER	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          416	    6B096IM	   23<PopsDel>EGGS INCL PULP	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          441	    6B113EX	   13SAWN SOFTWOOD	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          459	    6B126EX	   21<PopsDel>LIME (AGRIC)	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          466	    6B131EX	   15<PopsDel>PUMICE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          480	    6B143IM	   13SODA ASH,BULK	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          505	    6B159EX	   24<PopsDel>ANIMAL PRODUCTS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          521	    6B173EX	   29Oil, Other Mineral - Not Bulk	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	24-nov-1999 22:35:28     	                         	    4load	    6he2441	    0	    1A

          528	    6B176IM	   13FUEL OIL,BULK	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          546	    6B205EX	    9CHEMICALS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          571	    6B218IM	   16<PopsDel>CARPETS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          585	    6B226EX	   20<PopsDel>GLASS,SHEET	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          592	    6B229IM	   19<PopsDel>FIBREGLASS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          610	    6B239EX	   14STEEL,SHREDDED	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          635	    6B254IM	   15CONSTRUCT EQUIP	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          652	    6B264EX	   12CKD VEHICLES	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          661	    6B268IM	   31Vehicles Used up to 14M3 Import	    0	    1N	    1S	    1B	    0	     0	01-jan-2000              	31-dec-2099              	10-nov-1999              	29-dec-1999 08:29:20     	                         	    4load	    6he2441	    0	    1A

          679	    6B277IM	    8HARDWARE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	16-nov-1999 18:43:12     	                         	    4load	    6he2441	    0	    1A

          702	    6B290IM	   24<PopsDel>GENERAL ACCRUAL	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          716	    6B299EX	   23<PopsDel>ELEC EQUIPMENT	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          725	    6B306IM	   15TRUCKS,GULF IS.	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          743	    6B396IM	   23<PopsDel>MINIMUM CHARGE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          766	    6B532EX	   39Cars up to 14m3(secondhand pre-cleared)	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          774	    6B538EX	   22Vehicles Used - Export	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          799	    5D7100	    9DEMURRAGE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	09-aug-2000              	10-nov-1999              	10-aug-2000 15:03:05     	                         	    4load	    6he2441	    0	    1A

          813	    5E6030	   19RENT Capt. Cook Whf	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          820	    5E6100	   17TELEPHONE CHARGES	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          838	    5E6820	   14R & D TALLYING	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          863	    5F7190	    8FUMIGATE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          877	    5F8200	   37Standard Shuttle - Container Transfer	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	30-nov-1999 13:58:50     	                         	    4load	    6cr2772	    0	    1A

          884	    5F8210	    5DEVAN	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          899	    5F8342	   37S/Heavy Hoist, > 23 Tonne with Driver	    0	    1Y	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          922	    5F8725	   17DRIVER pd 3 w/end	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          936	    5F8910	   29<PopsDel>No1 STORE RECD < 100	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          945	    5FICHE	   19<CorpDel>MICROFICHE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          963	    6MISCXX	   15Misc Exempt GST	    0	    1N	    1X	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	21-jul-2000 10:31:16     	                         	    4load	    6he2441	    0	    1A

          986	    5R0010	   23<PopsDel>MISC VSL < 10M	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

         1000	    5R0024	   28<PopsDel>PORT CHGES ONEHUNGA	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

         1009	    4RENT	   13<PopsDel>RENT	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

         1032	    6S73.22	   2040FT FULL UNPACK/PCK	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-oct-2000              	10-nov-1999              	09-nov-2000 16:36:53     	                         	    4load	    6he2441	    0	    1A

         1041	    6S74.16	   14TIMBER 4" X 3"	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

         1059	    5S76.3	   16T/SHIP DEMURRAGE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-oct-2000              	10-nov-1999              	09-nov-2000 16:40:28     	                         	    4load	    6he2441	    0	    1A

         1082	    6SPCKRB	   14Seapack Rebate	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	21-jul-2000 10:31:32     	                         	    4load	    6he2441	    0	    1A

         1105	    6B533EX	   28CKD Vehicles, Parts - Export	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

         1123	    5F8208	   33Shuttle Plus - Container Transfer	    0	    1N	    1S	    1B	    0	     0	01-dec-1999              	31-dec-2099              	25-nov-1999 23:14:59     	                         	                         	    6he2441	    0	    0	    1A

         1146	    65YC.DN	   36Rail Deliver Overdimension Surcharge	    0	    1N	    1S	    1B	    0	     0	01-jan-2000              	31-dec-2099              	01-feb-2000 10:09:14     	                         	                         	    6he2441	    0	    0	    1A

         1165	    6B327EX	   26Boats > 9.5 Metres, Export	    0	    1N	    1S	    1B	    0	     0	01-jan-2000              	31-dec-2099              	12-apr-2000 15:13:19     	                         	                         	    6he2441	    0	    0	    1A

         1172	    68YB.SE	   27Export Storage - Break Bulk	    0	    1N	    1S	    1B	    0	     0	01-mar-2000              	31-dec-2099              	24-may-2000 08:50:10     	                         	                         	    6he2441	    0	    0	    1A

         1190	    52SC.Q	   21Reefer Power - Export	    5POWER	    1N	    1S	    1B	    0	     0	01-jul-2000              	31-dec-2099              	25-jul-2000 18:02:24     	                         	                         	    6he2441	    0	    0	    1A

         1215	    5F8540	   15Water Wand Hire	    0	    1N	    1S	    1B	    0	     0	01-jul-2000              	31-dec-2099              	31-jul-2000 13:24:36     	                         	                         	    6he2441	    0	    0	    1A

         1229	    61TC.G1	   40Wharfage -International Tranship Arrival	    2GW	    1N	    1S	    1B	    0	     0	01-oct-2000              	31-dec-2099              	03-apr-2001 11:01:18     	03-apr-2001 11:05:58     	                         	    6he2441	    6he2441	    0	    1A

            6	    51.5.5	   16Pre-Slung Rebate	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	14-dec-1999 19:13:02     	                         	    4load	    6he2441	    0	    1A

           31	    51SC.O	   33Discharge Container O/D Surcharge	    5DISCH	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	27-jun-2000 09:49:27     	                         	    4load	    6he2441	    0	    1A

           45	    51ST.G	   24Wharfage - Import Timber	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	27-jun-2000 09:53:21     	                         	    4load	    6he2441	    0	    1A

           52	    31TC	   28Tranship Discharge Container	    7T/DISCH	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	28-jun-2000 17:32:59     	                         	    4load	    6he2441	    0	    1A

           70	    42DCS	   31DLR Load Ship's Crane Container	    6RESHIP	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	15-dec-1999 10:06:10     	                         	    4load	    6br2464	    0	    1A

           95	    52ST.G	   24Wharfage - Export Timber	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	27-jun-2000 10:18:07     	                         	    4load	    6he2441	    0	    1A

          109	    332B	   17TRACTORS HVY DUTY	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	23-feb-2000 10:57:35     	23-feb-2000 10:57:35     	    4load	    6he2441	    6he2441	    1I

          116	    53SCRK	   30Shift-on-Board Container Kleco	    3SOB	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	27-jun-2000 10:23:47     	                         	    4load	    6he2441	    0	    1A

          131	    45N.R	   20RORO Night Shift Sch	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	02-dec-1999 10:39:06     	02-dec-1999 10:39:06     	    4load	    6he2441	    6he2441	    1I

          154	    66YC.FV	   16Van on the Wharf	    8FACILITY	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	27-jul-2000 17:21:18     	                         	    4load	    6he2441	    0	    1A

          168	    56YC.X	   18Interwharf Lift On	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          177	    38PC	   19Container Demurrage	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          195	    29L	   20Miscellaneous Labour	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	21-jun-2000 17:12:47     	                         	    4load	    6he2441	    0	    1A

          218	    5A8106	   23Towage 10001-15000 Tons	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	22-jun-2000 11:14:58     	                         	    4load	    6he2441	    0	    1A

          232	    5A9121	   17Port Dues Manukau	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	26-jun-2000 17:55:59     	                         	    4load	    6he2441	    0	    1A

          241	    5A9263	   15HYDRO/TECHNICAN	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          265	    5A9508	   15PASS HOIST HIRE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          272	    6B003EX	   20<PopsDel>CRUSTACEANS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          290	    6B013IM	   15<PopsDel>OFFALS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          315	    6B028EX	   24<PopsDel>SHORTENING COMP	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          329	    6B039IM	   20<PopsDel>OTHER GRAIN	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          336	    6B043EX	   19<PopsDel>CORNFLOURS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          354	    6B055IM	   21<PopsDel>FROZEN VEGES	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

