            6	   12baselineview	    8Baseline	            3	    1N	            0	16-mar-1994 05:56:48     	            3	16-mar-1994 05:56:48     	            3	]^NULL^[                 	    8]^NULL^[
          523	   10Build View	    7Working	          123	    1N	          519	11-mar-1998 01:25:17     	           62	11-mar-1998 01:25:25     	           62	]^NULL^[                 	    8]^NULL^[

          525	   10Production	    7Working	          108	    1N	          427	25-mar-1998 00:49:25     	           62	25-mar-1998 00:49:52     	           62	]^NULL^[                 	    8]^NULL^[

          588	   12baselineview	    8Baseline	          139	    1N	            0	17-jul-1998 08:05:51     	           38	17-jul-1998 08:05:51     	           38	]^NULL^[                 	    8]^NULL^[

          592	    3Dev	    7Working	          139	    1N	          588	18-jul-1998 03:35:50     	           38	18-jul-1998 03:36:07     	           38	]^NULL^[                 	    8]^NULL^[

          593	    6Closed	    7Working	          139	    1N	          588	18-jul-1998 03:35:51     	           38	18-jul-1998 03:36:16     	           38	]^NULL^[                 	    8]^NULL^[

          600	   24predev (see Dave or Lin)	    7Working	          116	    1N	          477	07-aug-1998 05:56:46     	           14	07-aug-1998 05:57:10     	           14	]^NULL^[                 	    8]^NULL^[

          601	   12baselineview	    8Baseline	          142	    1N	            0	18-aug-1998 05:56:10     	           71	18-aug-1998 05:56:10     	           71	]^NULL^[                 	    8]^NULL^[

          603	    3DEV	    7Working	          142	    1N	          601	18-aug-1998 05:56:34     	           71	18-aug-1998 05:57:04     	           71	]^NULL^[                 	    8]^NULL^[

          604	    4TEST	    7Working	          142	    1N	          601	18-aug-1998 05:56:37     	           71	18-aug-1998 05:57:10     	           71	]^NULL^[                 	    8]^NULL^[

          605	    3REL	    7Working	          142	    1N	          601	18-aug-1998 05:56:38     	           71	18-aug-1998 05:57:15     	           71	]^NULL^[                 	    8]^NULL^[

          608	    9Prototype	    7Working	           92	    1N	          369	22-aug-1998 02:57:15     	            3	07-oct-1998 00:53:45     	           38	]^NULL^[                 	    8]^NULL^[

          609	    2QA	    7Working	           92	    1N	          369	22-aug-1998 08:18:30     	            3	07-oct-1998 00:53:51     	           38	]^NULL^[                 	    8]^NULL^[

          611	   12baselineview	    8Baseline	          143	    1N	            0	03-sep-1998 08:13:40     	           62	03-sep-1998 08:13:40     	           62	]^NULL^[                 	    8]^NULL^[

          612	   11Development	    7Working	          143	    1N	          611	03-sep-1998 08:13:40     	           62	03-sep-1998 08:13:40     	           62	]^NULL^[                 	    8]^NULL^[

          613	    5Build	    7Working	          143	    1N	          611	03-sep-1998 08:13:40     	           62	03-sep-1998 08:13:40     	           62	]^NULL^[                 	    8]^NULL^[

          614	   10Production	    7Working	          143	    1N	          611	03-sep-1998 08:13:40     	           62	03-sep-1998 08:13:40     	           62	]^NULL^[                 	    8]^NULL^[

          621	    8Rejected	    7Working	           92	    1N	          369	22-sep-1998 04:21:40     	            3	07-oct-1998 00:52:21     	           38	]^NULL^[                 	    8]^NULL^[

          622	    8Deferred	    7Working	           92	    1N	          369	07-oct-1998 00:52:10     	           38	07-oct-1998 00:52:37     	           38	]^NULL^[                 	    8]^NULL^[

          625	    4Hold	    7Working	           92	    1N	          369	07-oct-1998 02:29:12     	           38	07-oct-1998 02:29:17     	           38	]^NULL^[                 	    8]^NULL^[

          647	    7View-47	    1W	          139	    1N	            0	14-nov-1998 02:50:17     	           38	14-nov-1998 02:50:17     	           38	]^NULL^[                 	    8]^NULL^[

          655	   12baselineview	    8Baseline	          148	    1N	            0	16-dec-1998 08:17:09     	            3	16-dec-1998 08:17:09     	            3	]^NULL^[                 	    8]^NULL^[

          659	   16Level 1 Complete	    7Working	           92	    1N	          369	06-jan-1999 09:05:32     	            3	06-jan-1999 09:08:26     	            3	]^NULL^[                 	    8]^NULL^[

          660	   13Level 1 Build	    7Working	           92	    1N	          369	06-jan-1999 09:10:18     	            3	06-jan-1999 09:10:33     	            3	]^NULL^[                 	    8]^NULL^[

          667	    7On Hold	    7Working	          143	    1N	          611	29-jan-1999 02:45:55     	           62	29-jan-1999 02:46:16     	           62	]^NULL^[                 	    8]^NULL^[

          684	   12baselineview	    8Baseline	          150	    1N	            0	12-mar-1999 07:58:26     	           14	12-mar-1999 07:58:26     	           14	]^NULL^[                 	    8]^NULL^[

          685	   11Development	    7Working	          150	    1N	          684	12-mar-1999 07:58:26     	           14	12-mar-1999 07:58:26     	           14	]^NULL^[                 	    8]^NULL^[

          686	    5Build	    7Working	          150	    1N	          684	12-mar-1999 07:58:26     	           14	12-mar-1999 07:58:26     	           14	]^NULL^[                 	    8]^NULL^[

          687	   10Production	    7Working	          150	    1N	          684	12-mar-1999 07:58:26     	           14	12-mar-1999 07:58:26     	           14	]^NULL^[                 	    8]^NULL^[

          688	    7On Hold	    7Working	          150	    1N	          684	12-mar-1999 07:58:26     	           14	12-mar-1999 07:58:26     	           14	]^NULL^[                 	    8]^NULL^[

          701	   12baselineview	    8Baseline	          151	    1N	            0	20-apr-1999 01:40:55     	           62	20-apr-1999 01:40:55     	           62	]^NULL^[                 	    8]^NULL^[

          703	   11Source Code	    7Working	          151	    1N	          701	20-apr-1999 01:41:45     	           62	20-apr-1999 01:43:12     	           62	]^NULL^[                 	    8]^NULL^[

          709	   12baselineview	    8Baseline	          152	    1N	            0	13-may-1999 00:28:10     	           62	13-may-1999 00:28:10     	           62	]^NULL^[                 	    8]^NULL^[

          711	    3DEV	    7Working	          152	    1N	          709	13-may-1999 00:28:10     	           62	13-may-1999 00:28:10     	           62	]^NULL^[                 	    8]^NULL^[

          712	    4TEST	    7Working	          152	    1N	          709	13-may-1999 00:28:10     	           62	13-may-1999 00:28:10     	           62	]^NULL^[                 	    8]^NULL^[

          713	    3REL	    7Working	          152	    1N	          709	13-may-1999 00:28:10     	           62	13-may-1999 00:28:10     	           62	]^NULL^[                 	    8]^NULL^[

          714	    7View-14	    1W	          139	    1N	            0	13-may-1999 00:51:20     	           14	13-may-1999 00:51:20     	           14	]^NULL^[                 	    8]^NULL^[

          717	    7View-17	    1W	          152	    1N	            0	13-may-1999 01:28:16     	           62	13-may-1999 01:28:16     	           62	]^NULL^[                 	    8]^NULL^[

          727	   12baselineview	    8Baseline	          153	    1N	            0	23-jun-1999 04:08:45     	           62	23-jun-1999 04:08:45     	           62	]^NULL^[                 	    8]^NULL^[

          729	    7Patches	    7Working	          153	    1N	          727	23-jun-1999 04:12:37     	           62	23-jun-1999 04:12:46     	           62	]^NULL^[                 	    8]^NULL^[

          747	   12baselineview	    8Baseline	          154	    1N	            0	21-sep-1999 05:03:17     	           53	21-sep-1999 05:03:17     	           53	]^NULL^[                 	    8]^NULL^[

          749	   11Development	    7Working	          154	    1N	          747	21-sep-1999 05:03:17     	           53	21-sep-1999 05:03:17     	           53	]^NULL^[                 	    8]^NULL^[

          750	    4Test	    7Working	          154	    1N	          747	21-sep-1999 05:03:17     	           53	21-sep-1999 05:03:17     	           53	]^NULL^[                 	    8]^NULL^[

          751	    7Release	    7Working	          154	    1N	          747	21-sep-1999 05:03:17     	           53	21-sep-1999 05:03:17     	           53	]^NULL^[                 	    8]^NULL^[

          775	   12baselineview	    8Baseline	          156	    1N	            0	08-dec-1999 06:07:03     	           62	08-dec-1999 06:07:03     	           62	]^NULL^[                 	    8]^NULL^[

          776	   11Development	    7Working	          156	    1N	          775	08-dec-1999 06:07:03     	           62	08-dec-1999 06:07:03     	           62	]^NULL^[                 	    8]^NULL^[

          777	    5Build	    7Working	          156	    1N	          775	08-dec-1999 06:07:03     	           62	08-dec-1999 06:07:03     	           62	]^NULL^[                 	    8]^NULL^[

          778	   10Production	    7Working	          156	    1N	          775	08-dec-1999 06:07:03     	           62	08-dec-1999 06:07:03     	           62	]^NULL^[                 	    8]^NULL^[

          779	    7On Hold	    7Working	          156	    1N	          775	08-dec-1999 06:07:03     	           62	08-dec-1999 06:07:03     	           62	]^NULL^[                 	    8]^NULL^[

       300000	    6RINCON	   10Repository	            0	    1Y	            0	02-aug-2000 06:59:15     	          110	02-aug-2000 06:59:15     	          110	]^NULL^[                 	    8]^NULL^[

       300005	   10RINCON_MVS	   10Repository	            0	    1Y	            0	04-aug-2000 05:34:13     	          101	04-aug-2000 05:34:13     	          101	]^NULL^[                 	    8]^NULL^[

       300105	   12baselineview	    8Baseline	       300000	    1N	            0	25-oct-2000 01:55:19     	            3	25-oct-2000 01:55:19     	            3	]^NULL^[                 	    8]^NULL^[

       300106	    3Dev	    7Working	       300000	    1N	       300105	25-oct-2000 01:55:20     	            3	25-oct-2000 01:55:20     	            3	]^NULL^[                 	    8]^NULL^[

       300107	    7Release	    7Working	       300000	    1N	       300105	25-oct-2000 01:55:20     	            3	25-oct-2000 01:55:20     	            3	]^NULL^[                 	  226-1,No View                                                                                                                         ,NoView          ,0,N,-1,08/01/2000 02:13:13PM,1,08/01/2000 02:13:13PM,1,08/01/2000 02:13:13PM,

       300108	   11Integration	    7Working	       300000	    1N	       300105	25-oct-2000 01:55:20     	            3	25-oct-2000 01:55:20     	            3	]^NULL^[                 	    8]^NULL^[

       300109	    8Dev Test	    7Working	       300000	    1N	       300105	25-oct-2000 01:55:20     	            3	25-oct-2000 01:55:20     	            3	]^NULL^[                 	    8]^NULL^[

       300110	    2QA	    7Working	       300000	    1N	       300105	25-oct-2000 01:55:20     	            3	25-oct-2000 01:55:20     	            3	]^NULL^[                 	    8]^NULL^[

       300111	    9Prototype	    7Working	       300000	    1N	       300105	25-oct-2000 01:55:20     	            3	25-oct-2000 01:55:20     	            3	]^NULL^[                 	    8]^NULL^[

       300112	    8Rejected	    7Working	       300000	    1N	       300105	25-oct-2000 01:55:20     	            3	25-oct-2000 01:55:20     	            3	]^NULL^[                 	    8]^NULL^[

       300113	    8Deferred	    7Working	       300000	    1N	       300105	25-oct-2000 01:55:20     	            3	25-oct-2000 01:55:20     	            3	]^NULL^[                 	    8]^NULL^[

       300114	    4Hold	    7Working	       300000	    1N	       300105	25-oct-2000 01:55:20     	            3	25-oct-2000 01:55:20     	            3	]^NULL^[                 	    8]^NULL^[

       300115	   16Level 1 Complete	    7Working	       300000	    1N	       300105	25-oct-2000 01:55:20     	            3	25-oct-2000 01:55:20     	            3	]^NULL^[                 	    8]^NULL^[

       300116	   13Level 1 Build	    7Working	       300000	    1N	       300105	25-oct-2000 01:55:20     	            3	25-oct-2000 01:55:20     	            3	]^NULL^[                 	    8]^NULL^[

       300190	   12baselineview	    8Baseline	       300040	    1N	            0	04-nov-2000 04:42:24     	            1	04-nov-2000 04:42:24     	            1	]^NULL^[                 	    8]^NULL^[

       300210	   12baselineview	    8Baseline	       300045	    1N	            0	18-nov-2000 07:29:51     	            3	18-nov-2000 07:29:51     	            3	]^NULL^[                 	    8]^NULL^[

       300215	   12baselineview	    8Baseline	       300050	    1N	            0	18-nov-2000 07:34:13     	            3	18-nov-2000 07:34:13     	            3	]^NULL^[                 	    8]^NULL^[

       300320	   12baselineview	    8Baseline	       300075	    1N	            0	11-jan-2001 07:37:50     	          103	11-jan-2001 07:37:50     	          103	]^NULL^[                 	    8]^NULL^[

       300355	   19B2_11_010125_FINAL2	    8Snapshot	           92	    1N	          372	26-jan-2001 04:50:05     	          110	26-jan-2001 04:50:05     	          110	]^NULL^[                 	    8]^NULL^[

       300400	   12baselineview	    8Baseline	       300085	    1N	            0	14-feb-2001 04:14:44     	       300010	14-feb-2001 04:14:44     	       300010	]^NULL^[                 	    8]^NULL^[

       300405	   11Integration	    7Working	       300085	    1N	       300400	14-feb-2001 04:14:46     	       300010	14-feb-2001 04:14:46     	       300010	]^NULL^[                 	    8]^NULL^[

       300406	    8Dev Test	    7Working	       300085	    1N	       300400	14-feb-2001 04:14:46     	       300010	14-feb-2001 04:14:46     	       300010	]^NULL^[                 	    8]^NULL^[

       300407	    2QA	    7Working	       300085	    1N	       300400	14-feb-2001 04:14:46     	       300010	14-feb-2001 04:14:46     	       300010	]^NULL^[                 	    8]^NULL^[

       300410	    3Dev	    7Working	       300085	    1N	       300400	14-feb-2001 04:14:46     	       300010	14-feb-2001 04:14:46     	       300010	]^NULL^[                 	    8]^NULL^[

       300411	    7Release	    7Working	       300085	    1N	       300400	14-feb-2001 04:14:46     	       300010	14-feb-2001 04:14:46     	       300010	]^NULL^[                 	    8]^NULL^[

       300415	   20Integration Complete	    7Working	       300085	    1N	       300400	14-feb-2001 04:25:16     	       300010	14-feb-2001 04:25:36     	       300010	]^NULL^[                 	    8]^NULL^[

       300416	    6Assign	    7Working	       300085	    1N	       300400	14-feb-2001 04:30:57     	       300010	14-feb-2001 04:30:57     	       300010	]^NULL^[                 	    8]^NULL^[

       300446	   12baselineview	    8Baseline	       300105	    1N	            0	16-feb-2001 00:57:03     	           53	16-feb-2001 00:57:03     	           53	]^NULL^[                 	    8]^NULL^[

       300447	    6Assign	    7Working	       300105	    1N	       300446	16-feb-2001 00:57:04     	           53	16-feb-2001 00:57:04     	           53	]^NULL^[                 	    8]^NULL^[

       300448	   20Integration Complete	    7Working	       300105	    1N	       300446	16-feb-2001 00:57:04     	           53	16-feb-2001 00:57:04     	           53	]^NULL^[                 	    8]^NULL^[

       300449	   11Integration	    7Working	       300105	    1N	       300446	16-feb-2001 00:57:04     	           53	16-feb-2001 00:57:04     	           53	]^NULL^[                 	    8]^NULL^[

       300450	    8Dev Test	    7Working	       300105	    1N	       300446	16-feb-2001 00:57:04     	           53	16-feb-2001 00:57:04     	           53	]^NULL^[                 	    8]^NULL^[

       300451	    2QA	    7Working	       300105	    1N	       300446	16-feb-2001 00:57:04     	           53	16-feb-2001 00:57:04     	           53	]^NULL^[                 	    8]^NULL^[

       300452	    3Dev	    7Working	       300105	    1N	       300446	16-feb-2001 00:57:04     	           53	16-feb-2001 00:57:04     	           53	]^NULL^[                 	    8]^NULL^[

       300453	    7Release	    7Working	       300105	    1N	       300446	16-feb-2001 00:57:04     	           53	16-feb-2001 00:57:04     	           53	]^NULL^[                 	    8]^NULL^[

       300455	   23HarWeb baseline shaphot	    8Snapshot	           92	    1Y	          660	16-feb-2001 01:07:48     	          110	16-feb-2001 01:27:04     	           53	]^NULL^[                 	    8]^NULL^[

       300456	   23Harweb Initial Snapshot	    8Snapshot	           92	    1Y	          660	16-feb-2001 01:43:33     	           53	16-feb-2001 01:43:33     	           53	]^NULL^[                 	    8]^NULL^[

       300485	   12baselineview	    8Baseline	       300116	    1N	            0	25-feb-2001 06:42:55     	       300010	25-feb-2001 06:42:55     	       300010	]^NULL^[                 	    8]^NULL^[

       300486	    7Release	    7Working	       300116	    1N	       300485	25-feb-2001 06:42:56     	       300010	25-feb-2001 06:42:56     	       300010	]^NULL^[                 	    8]^NULL^[

       300487	    6Assign	    7Working	       300116	    1N	       300485	25-feb-2001 06:42:56     	       300010	25-feb-2001 06:42:56     	       300010	]^NULL^[                 	    8]^NULL^[

       300488	   20Integration Complete	    7Working	       300116	    1N	       300485	25-feb-2001 06:42:56     	       300010	25-feb-2001 06:42:56     	       300010	]^NULL^[                 	    8]^NULL^[

       300489	   11Integration	    7Working	       300116	    1N	       300485	25-feb-2001 06:42:56     	       300010	25-feb-2001 06:42:56     	       300010	]^NULL^[                 	    8]^NULL^[

       300490	    8Dev Test	    7Working	       300116	    1N	       300485	25-feb-2001 06:42:56     	       300010	25-feb-2001 06:42:56     	       300010	]^NULL^[                 	    8]^NULL^[

       300491	    2QA	    7Working	       300116	    1N	       300485	25-feb-2001 06:42:56     	       300010	25-feb-2001 06:42:56     	       300010	]^NULL^[                 	    8]^NULL^[

       300492	    3Dev	    7Working	       300116	    1N	       300485	25-feb-2001 06:42:56     	       300010	25-feb-2001 06:42:56     	       300010	]^NULL^[                 	    8]^NULL^[

       300495	   14Harvest5_01_D7	    8Snapshot	           92	    1Y	          372	05-mar-2001 03:45:50     	          110	05-mar-2001 03:45:50     	          110	]^NULL^[                 	    8]^NULL^[

       300496	   12baselineview	    8Baseline	       300120	    1N	            0	05-mar-2001 04:55:04     	       300010	05-mar-2001 04:55:04     	       300010	]^NULL^[                 	    8]^NULL^[

       300497	    7Release	    7Working	       300120	    1N	       300496	05-mar-2001 04:55:12     	       300010	05-mar-2001 04:55:12     	       300010	]^NULL^[                 	    8]^NULL^[

       300498	    6Assign	    7Working	       300120	    1N	       300496	05-mar-2001 04:55:12     	       300010	05-mar-2001 04:55:12     	       300010	]^NULL^[                 	    8]^NULL^[

       300499	   20Integration Complete	    7Working	       300120	    1N	       300496	05-mar-2001 04:55:12     	       300010	05-mar-2001 04:55:12     	       300010	]^NULL^[                 	    8]^NULL^[

       300500	   11Integration	    7Working	       300120	    1N	       300496	05-mar-2001 04:55:12     	       300010	05-mar-2001 04:55:12     	       300010	]^NULL^[                 	    8]^NULL^[

       300501	    8Dev Test	    7Working	       300120	    1N	       300496	05-mar-2001 04:55:12     	       300010	05-mar-2001 04:55:12     	       300010	]^NULL^[                 	    8]^NULL^[

       300502	    2QA	    7Working	       300120	    1N	       300496	05-mar-2001 04:55:12     	       300010	05-mar-2001 04:55:12     	       300010	]^NULL^[                 	    8]^NULL^[

       300503	    3Dev	    7Working	       300120	    1N	       300496	05-mar-2001 04:55:12     	       300010	05-mar-2001 04:55:12     	       300010	]^NULL^[                 	    8]^NULL^[

       300505	   11Development	    7Working	       300075	    1N	       300320	06-mar-2001 01:54:32     	          103	06-mar-2001 01:54:32     	          103	]^NULL^[                 	    8]^NULL^[

       300506	   12Dev Complete	    7Working	       300075	    1N	       300320	06-mar-2001 01:54:59     	          103	06-mar-2001 01:54:59     	          103	]^NULL^[                 	    8]^NULL^[

       300507	    5Build	    7Working	       300075	    1N	       300320	06-mar-2001 01:56:50     	          103	06-mar-2001 01:56:50     	          103	]^NULL^[                 	    8]^NULL^[

       300508	    2QA	    7Working	       300075	    1N	       300320	06-mar-2001 01:58:45     	          103	06-mar-2001 01:58:45     	          103	]^NULL^[                 	    8]^NULL^[

       300510	   25Harvest5_01_D7_EMBaseline	    8Snapshot	       300120	    1Y	       300500	08-mar-2001 01:51:14     	          110	08-mar-2001 01:56:10     	       300010	]^NULL^[                 	    8]^NULL^[

       300530	   23Harvest5_01_D7a_Windows	    8Snapshot	       300120	    1N	       300499	10-mar-2001 07:37:55     	          110	10-mar-2001 07:37:55     	          110	]^NULL^[                 	    8]^NULL^[

       300531	   19Harvest5_01_D7a_AIX	    8Snapshot	       300120	    1N	       300501	10-mar-2001 07:55:18     	          110	10-mar-2001 07:55:18     	          110	]^NULL^[                 	    8]^NULL^[

       300535	   15Harvest5_01_D7b	    8Snapshot	       300120	    1Y	       300499	14-mar-2001 07:38:24     	          110	14-mar-2001 07:38:24     	          110	]^NULL^[                 	    8]^NULL^[

       300540	   24Harweb CmdLine Updates 1	    8Snapshot	           92	    1N	          373	16-mar-2001 08:05:09     	           53	16-mar-2001 08:05:09     	           53	]^NULL^[                 	    8]^NULL^[

       300541	   32Harweb HCmdLine Updates on D7b 1	    8Snapshot	           92	    1N	          373	16-mar-2001 08:15:53     	           53	16-mar-2001 08:15:53     	           53	]^NULL^[                 	    8]^NULL^[

       300545	   30Harvest5_01_ReleaseToQA_010316	    8Snapshot	       300120	    1Y	       300497	21-mar-2001 06:24:59     	       300010	21-mar-2001 06:27:55     	       300010	]^NULL^[                 	    8]^NULL^[

       300555	   32Harweb HCmdLine Updates on D7b 2	    8Snapshot	           92	    1N	          373	23-mar-2001 02:55:34     	           53	23-mar-2001 02:55:34     	           53	]^NULL^[                 	    8]^NULL^[

       300560	   10WEB1-1:D7b	    8Snapshot	       300105	    1Y	       300449	23-mar-2001 03:43:58     	            3	23-mar-2001 03:43:58     	            3	]^NULL^[                 	    8]^NULL^[

       300565	   11WEB1-1a:D7b	    8Snapshot	       300105	    1Y	       300449	27-mar-2001 09:09:48     	          124	30-mar-2001 02:30:20     	           53	]^NULL^[                 	    8]^NULL^[

       300583	   12baselineview	    8Baseline	       300126	    1N	            0	29-mar-2001 09:25:13     	       300010	29-mar-2001 09:25:13     	       300010	]^NULL^[                 	    8]^NULL^[

       300584	    2QA	    7Working	       300126	    1N	       300583	29-mar-2001 09:25:14     	       300010	29-mar-2001 09:25:14     	       300010	]^NULL^[                 	    8]^NULL^[

       300585	    3Dev	    7Working	       300126	    1N	       300583	29-mar-2001 09:25:14     	       300010	29-mar-2001 09:25:14     	       300010	]^NULL^[                 	    8]^NULL^[

       300586	    8Dev Test	    7Working	       300126	    1N	       300583	29-mar-2001 09:25:14     	       300010	29-mar-2001 09:25:14     	       300010	]^NULL^[                 	    8]^NULL^[

       300587	    7Release	    7Working	       300126	    1N	       300583	29-mar-2001 09:25:14     	       300010	29-mar-2001 09:25:14     	       300010	]^NULL^[                 	    8]^NULL^[

       300588	    6Assign	    7Working	       300126	    1N	       300583	29-mar-2001 09:25:14     	       300010	29-mar-2001 09:25:14     	       300010	]^NULL^[                 	    8]^NULL^[

       300589	   20Integration Complete	    7Working	       300126	    1N	       300583	29-mar-2001 09:25:14     	       300010	29-mar-2001 09:25:14     	       300010	]^NULL^[                 	    8]^NULL^[

       300590	   11Integration	    7Working	       300126	    1N	       300583	29-mar-2001 09:25:14     	       300010	29-mar-2001 09:25:14     	       300010	]^NULL^[                 	    8]^NULL^[

       300603	   12baselineview	    8Baseline	       300131	    1N	            0	30-mar-2001 02:28:04     	           53	30-mar-2001 02:28:04     	           53	]^NULL^[                 	    8]^NULL^[

       300604	    8Dev Test	    7Working	       300131	    1N	       300603	30-mar-2001 02:28:05     	           53	30-mar-2001 02:28:05     	           53	]^NULL^[                 	    8]^NULL^[

       300605	    3Dev	    7Working	       300131	    1N	       300603	30-mar-2001 02:28:05     	           53	30-mar-2001 02:28:05     	           53	]^NULL^[                 	    8]^NULL^[

       300606	    7Release	    7Working	       300131	    1N	       300603	30-mar-2001 02:28:05     	           53	30-mar-2001 02:28:05     	           53	]^NULL^[                 	    8]^NULL^[

       300607	    2QA	    7Working	       300131	    1N	       300603	30-mar-2001 02:28:05     	           53	30-mar-2001 02:28:05     	           53	]^NULL^[                 	    8]^NULL^[

       300608	    6Assign	    7Working	       300131	    1N	       300603	30-mar-2001 02:28:06     	           53	30-mar-2001 02:28:06     	           53	]^NULL^[                 	    8]^NULL^[

       300609	   20Integration Complete	    7Working	       300131	    1N	       300603	30-mar-2001 02:28:06     	           53	30-mar-2001 02:28:06     	           53	]^NULL^[                 	    8]^NULL^[

       300610	   11Integration	    7Working	       300131	    1N	       300603	30-mar-2001 02:28:06     	           53	30-mar-2001 02:28:06     	           53	]^NULL^[                 	    8]^NULL^[

       300625	   23Harvest5_01_D7b_Windows	    8Snapshot	       300120	    1N	       300499	04-apr-2001 02:04:47     	          110	04-apr-2001 02:04:47     	          110	]^NULL^[                 	    8]^NULL^[

       300630	    2QA	   10Repository	            0	    1Y	            0	05-apr-2001 05:56:24     	       300010	05-apr-2001 05:56:24     	       300010	]^NULL^[                 	    8]^NULL^[

       300631	   12baselineview	    8Baseline	       300135	    1N	            0	05-apr-2001 06:22:22     	       300010	05-apr-2001 06:22:22     	       300010	]^NULL^[                 	    8]^NULL^[

       300635	   12Update tests	    7Working	       300135	    1N	       300631	05-apr-2001 07:08:31     	       300045	05-apr-2001 07:08:31     	       300045	]^NULL^[                 	    8]^NULL^[

       300641	   15Harvest5_01_D7c	    8Snapshot	       300120	    1N	       300499	10-apr-2001 08:51:04     	          110	10-apr-2001 08:51:04     	          110	]^NULL^[                 	    8]^NULL^[

       300645	   30Release_Harvest5_01_D7c_010410	    8Snapshot	       300120	    1N	       300497	11-apr-2001 04:38:39     	       300010	25-aug-2001 07:19:37     	       300010	]^NULL^[                 	   41Original snapshot of Harvest 5.01 release

       300650	   14Harvest5_02_D2	    8Snapshot	           92	    1N	          372	17-apr-2001 02:59:48     	          111	17-apr-2001 02:59:48     	          111	]^NULL^[                 	    8]^NULL^[

       300655	   32Harvest5_02_D3 Windows + Solaris	    8Snapshot	           92	    1N	          372	18-apr-2001 08:24:58     	          110	18-apr-2001 08:24:58     	          110	]^NULL^[                 	    8]^NULL^[

       300660	   33Base Snapshot QAP: harvest5_01_d7	    8Snapshot	       300135	    1N	       300635	25-apr-2001 07:49:45     	          122	25-apr-2001 07:49:45     	          122	]^NULL^[                 	    8]^NULL^[

       300665	   14Harvest5_02_D4	    8Snapshot	           92	    1Y	          372	26-apr-2001 23:42:22     	          111	26-apr-2001 23:42:22     	          111	]^NULL^[                 	    8]^NULL^[

       300670	   12baselineview	    8Baseline	       300140	    1N	            0	02-may-2001 07:00:14     	            3	02-may-2001 07:00:14     	            3	]^NULL^[                 	    8]^NULL^[

       300675	    3Dev	    7Working	       300140	    1N	       300670	02-may-2001 23:23:29     	            3	02-may-2001 23:23:29     	            3	]^NULL^[                 	    8]^NULL^[

       300676	    4Test	    7Working	       300140	    1N	       300670	02-may-2001 23:24:47     	            3	02-may-2001 23:24:47     	            3	]^NULL^[                 	    8]^NULL^[

       300680	    3HRC	   10Repository	            0	    1Y	            0	03-may-2001 00:07:29     	            3	03-may-2001 00:07:29     	            3	]^NULL^[                 	    8]^NULL^[

       300690	   22Harvest5_02_D5_Windows	    8Snapshot	           92	    1N	          372	09-may-2001 06:49:30     	          110	09-may-2001 06:49:30     	          110	]^NULL^[                 	    8]^NULL^[

       300695	   22Harvest5_02_D5_Solaris	    8Snapshot	           92	    1N	          372	11-may-2001 07:30:34     	          123	11-may-2001 07:30:34     	          123	]^NULL^[                 	    8]^NULL^[

       300700	   12baselineview	    8Baseline	       300145	    1N	            0	14-may-2001 23:45:20     	           53	14-may-2001 23:45:20     	           53	]^NULL^[                 	    8]^NULL^[

       300701	    2QA	    7Working	       300145	    1N	       300700	14-may-2001 23:45:21     	           53	14-may-2001 23:45:21     	           53	]^NULL^[                 	    8]^NULL^[

       300702	    3Dev	    7Working	       300145	    1N	       300700	14-may-2001 23:45:21     	           53	14-may-2001 23:45:21     	           53	]^NULL^[                 	    8]^NULL^[

       300703	    8Dev Test	    7Working	       300145	    1N	       300700	14-may-2001 23:45:21     	           53	14-may-2001 23:45:21     	           53	]^NULL^[                 	    8]^NULL^[

       300704	    7Release	    7Working	       300145	    1N	       300700	14-may-2001 23:45:21     	           53	14-may-2001 23:45:21     	           53	]^NULL^[                 	    8]^NULL^[

       300705	    6Assign	    7Working	       300145	    1N	       300700	14-may-2001 23:45:22     	           53	14-may-2001 23:45:22     	           53	]^NULL^[                 	    8]^NULL^[

       300706	   20Integration Complete	    7Working	       300145	    1N	       300700	14-may-2001 23:45:22     	           53	14-may-2001 23:45:22     	           53	]^NULL^[                 	    8]^NULL^[

       300707	   11Integration	    7Working	       300145	    1N	       300700	14-may-2001 23:45:22     	           53	14-may-2001 23:45:22     	           53	]^NULL^[                 	    8]^NULL^[

       300710	   14Harvest5_02_D5	    8Snapshot	           92	    1N	          372	16-may-2001 02:34:34     	          111	16-may-2001 02:34:34     	          111	]^NULL^[                 	    8]^NULL^[

       300715	   22Harvest5_02_D6_Windows	    8Snapshot	           92	    1Y	          372	18-may-2001 00:15:12     	          111	18-may-2001 00:15:12     	          111	]^NULL^[                 	    8]^NULL^[

       300720	   22Harvest5_02_D7_Windows	    8Snapshot	           92	    1N	          372	01-jun-2001 02:39:40     	          110	01-jun-2001 02:39:40     	          110	]^NULL^[                 	    8]^NULL^[

       300725	   22Harvest5_02_D7_Solaris	    8Snapshot	           92	    1N	          372	01-jun-2001 07:57:54     	          110	01-jun-2001 07:57:54     	          110	]^NULL^[                 	    8]^NULL^[

