    3MIS	    0	    0	         8624	    5POSER	    5PWHRF	    2JF	    0	            0	            0	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6br2464	27-apr-2000 10:36:19     
    3S/E	    7XNH0180	    1F	        17800	    4POPS	    3FCT	    0	    0	        19627	        40180	    0	    0	    0	28-nov-2000 11:25:24     	28-nov-2000 11:27:01     	                         	                         	                         	                         	23-nov-2000 12:00:00     	    0	    1A	    6ho2415	28-nov-2000 11:27:01     

    3S/E	    7CWA0182	    1J	        17804	    5POSER	    5PWHRF	    2JF	    0	        19908	        40182	    0	    0	    0	21-nov-2000 02:43:22     	28-nov-2000 11:19:59     	21-nov-2000 02:44:36     	                         	                         	                         	21-nov-2000 11:25:00     	    0	    1A	    6cu2237	28-nov-2000 11:19:59     

    3S/E	    7CWA0183	    1J	        17805	    5POSER	    5PWHRF	    2JF	    0	        19908	        40183	    0	    0	    0	                         	                         	                         	                         	                         	                         	18-dec-2000 11:00:00     	    0	    1A	    0	31-oct-2000 14:39:32     

    3S/E	    7CHA0185	    1J	        17808	    5POSER	    5PWHRF	    2JF	    0	        20548	        40185	    0	    0	    0	                         	                         	                         	                         	                         	                         	26-nov-2000 19:55:00     	    0	    1A	    0	31-oct-2000 14:41:43     

    3S/E	    7CBH0187	    1J	        17810	    5POSER	    5PWHRF	    2JF	    0	        20362	        40187	    0	    0	    0	                         	                         	                         	                         	                         	                         	03-dec-2000 00:00:00     	    0	    1A	    0	31-oct-2000 14:48:10     

    2GW	    0	    0	        17841	    5POSER	    5PWHRF	    2JF	    2IM	        20477	        39575	    0	    0	    0	                         	                         	01-nov-2000 12:31:13     	                         	                         	                         	                         	    0	    1A	    6ta5114	01-nov-2000 12:31:14     

    2CH	    0	    0	        17940	    4POPS	    3BCT	    0	    0	            0	            0	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6wr2479	03-nov-2000 10:05:54     

    3S/E	    7FSA0204	    1B	        17960	    4POPS	    3BCT	    0	    0	          917	        40204	    0	    0	    0	                         	                         	                         	                         	                         	                         	23-jan-2001 00:00:00     	    0	    1A	    0	03-nov-2000 12:30:26     

    3S/E	    7NRM0227	    1F	        17999	    4POPS	    3FCT	    0	    0	        20753	        40227	    0	    0	    0	                         	                         	                         	                         	                         	                         	05-dec-2000 12:00:00     	    0	    1A	    0	07-nov-2000 09:29:58     

    3S/E	    7PNL0228	    1F	        18001	    4POPS	    3FCT	    0	    0	        18850	        40228	    0	    0	    0	                         	                         	                         	                         	                         	                         	30-nov-2000 02:04:00     	    0	    1A	    0	07-nov-2000 09:53:30     

    3S/E	    7CMB0229	    1F	        18002	    4POPS	    3FCT	    0	    0	        19752	        40229	    0	    0	    0	                         	                         	                         	                         	                         	                         	02-dec-2000 01:00:00     	    0	    1A	    6mo2719	06-apr-2001 16:44:57     

    3S/E	    7NIM0230	    1F	        18003	    4POPS	    3FCT	    0	    0	        20544	        40230	    0	    0	    0	                         	                         	                         	                         	                         	                         	01-dec-2000 03:00:00     	    0	    1A	    0	07-nov-2000 09:55:55     

    3S/E	    7SEN0231	    1F	        18004	    4POPS	    3FCT	    0	    0	        20797	        40231	    0	    0	    0	                         	                         	                         	                         	                         	                         	03-dec-2000 17:34:00     	    0	    1A	    0	07-nov-2000 09:57:08     

    3S/E	    7SYD0232	    1F	        18005	    4POPS	    3FCT	    0	    0	            5	        40232	    0	    0	    0	                         	                         	                         	                         	                         	                         	05-dec-2000 00:00:00     	    0	    1A	    0	07-nov-2000 09:58:55     

    3S/E	    7BSK0233	    1B	        18006	    4POPS	    3BCT	    0	    0	        19792	        40233	    0	    0	    0	                         	28-nov-2000 14:16:07     	                         	                         	                         	                         	24-nov-2000 04:35:00     	    0	    1A	    6ja2589	28-nov-2000 14:16:07     

    3S/E	    7BSK0234	    1B	        18007	    4POPS	    3BCT	    0	    0	        19792	        40234	    0	    0	    0	                         	                         	                         	                         	                         	                         	02-feb-2001 00:00:00     	    0	    1A	    0	07-nov-2000 10:17:13     

    3S/E	    7FOY0235	    1J	        18008	    5POSER	    5PWHRF	    2JF	    0	        19697	        40235	    0	    0	    0	                         	                         	                         	                         	                         	                         	22-dec-2000 00:00:00     	    0	    1A	    0	07-nov-2000 10:19:55     

    3S/E	    7PHX0236	    1F	        18010	    4POPS	    3FCT	    0	    0	        20607	        40236	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    0	07-nov-2000 10:36:25     

    3S/E	    7RRR0239	    1J	        18016	    5POSER	    5PWHRF	    2JF	    0	        20831	        40239	    0	    0	    0	                         	                         	                         	                         	                         	                         	21-jan-2001 00:00:00     	    0	    1A	    0	07-nov-2000 11:13:38     

    3S/E	    7MAA0243	    1J	        18021	    5POSER	    5PWHRF	    2JF	    0	        17072	        40243	    0	    0	    0	                         	                         	                         	                         	                         	                         	26-jan-2001 00:00:00     	    0	    1A	    0	07-nov-2000 12:02:07     

    3S/E	    7MDV0246	    1B	        18024	    4POPS	    3BCT	    0	    0	        19980	        40246	    0	    0	    0	                         	                         	                         	                         	                         	                         	26-dec-2000 00:00:00     	    0	    1A	    0	07-nov-2000 12:33:04     

    3S/E	    7CCA0248	    1F	        18026	    4POPS	    3FCT	    0	    0	        11875	        40248	    0	    0	    0	                         	                         	                         	                         	                         	                         	06-dec-2000 12:00:00     	    0	    1A	    0	07-nov-2000 12:50:54     

    3S/E	    7NIM0249	    1F	        18027	    4POPS	    3FCT	    0	    0	        20544	        40249	    0	    0	    0	                         	                         	                         	                         	                         	                         	08-dec-2000 12:00:00     	    0	    1A	    0	07-nov-2000 12:52:19     

    3S/E	    7SEN0250	    1F	        18029	    4POPS	    3FCT	    0	    0	        20797	        40250	    0	    0	    0	                         	                         	                         	                         	                         	                         	11-dec-2000 00:00:00     	    0	    1A	    0	07-nov-2000 12:55:23     

    3S/E	    7SEN0251	    1F	        18031	    4POPS	    3FCT	    0	    0	        20797	        40251	    0	    0	    0	                         	                         	                         	                         	                         	                         	24-dec-2000 12:00:00     	    0	    1A	    0	07-nov-2000 12:58:33     

    3S/E	    7SEN0252	    1F	        18032	    4POPS	    3FCT	    0	    0	        20797	        40252	    0	    0	    0	                         	                         	                         	                         	                         	                         	02-jan-2001 12:00:00     	    0	    1A	    0	07-nov-2000 12:59:40     

    3S/E	    7AKL0254	    1F	        18034	    4POPS	    3FCT	    0	    0	        20216	        40254	    0	    0	    0	                         	                         	                         	                         	                         	                         	10-dec-2000 12:00:00     	    0	    1A	    0	07-nov-2000 13:08:38     

    3S/E	    7NOM0255	    1F	        18035	    4POPS	    3FCT	    0	    0	        20773	        40255	    0	    0	    0	                         	                         	                         	                         	                         	                         	10-dec-2000 12:00:00     	    0	    1A	    0	07-nov-2000 13:11:00     

    3S/E	    7CCO0256	    1F	        18036	    4POPS	    3FCT	    0	    0	        20289	        40256	    0	    0	    0	                         	                         	                         	                         	                         	                         	11-dec-2000 12:00:00     	    0	    1A	    0	07-nov-2000 13:11:59     

    3S/E	    7CCY0257	    1F	        18037	    4POPS	    3FCT	    0	    0	        19691	        40257	    0	    0	    0	                         	                         	                         	                         	                         	                         	13-dec-2000 12:00:00     	    0	    1A	    0	07-nov-2000 13:13:05     

    3S/E	    7ZQH0258	    1F	        18038	    4POPS	    3FCT	    0	    0	        19628	        40258	    0	    0	    0	                         	                         	                         	                         	                         	                         	13-dec-2000 12:00:00     	    0	    1A	    0	07-nov-2000 13:14:20     

    3S/E	    7PTN0259	    1F	        18039	    4POPS	    3FCT	    0	    0	        20407	        40259	    0	    0	    0	                         	                         	                         	                         	                         	                         	13-dec-2000 12:00:00     	    0	    1A	    0	07-nov-2000 13:15:36     

    3S/E	    7WLM0262	    1F	        18042	    4POPS	    3FCT	    0	    0	        14156	        40262	    0	    0	    0	                         	                         	                         	                         	                         	                         	14-dec-2000 12:00:00     	    0	    1A	    0	07-nov-2000 13:39:06     

    3S/E	    7PTA0265	    1F	        18045	    4POPS	    3FCT	    0	    0	        19651	        40265	    0	    0	    0	                         	                         	                         	                         	                         	                         	19-dec-2000 12:00:00     	    0	    1A	    0	07-nov-2000 13:43:40     

    3S/E	    7CBI0266	    1F	        18046	    4POPS	    3FCT	    0	    0	        20814	        40266	    0	    0	    0	                         	                         	                         	                         	                         	                         	19-dec-2000 12:00:00     	    0	    1A	    0	07-nov-2000 13:45:14     

    3S/E	    7YON0267	    1F	        18047	    4POPS	    3FCT	    0	    0	        20794	        40267	    0	    0	    0	                         	                         	                         	                         	                         	                         	20-dec-2000 12:00:00     	    0	    1A	    0	07-nov-2000 13:47:41     

    3S/E	    7WLM0270	    1F	        18050	    4POPS	    3FCT	    0	    0	        14156	        40270	    0	    0	    0	                         	                         	                         	                         	                         	                         	22-dec-2000 12:00:00     	    0	    1A	    0	07-nov-2000 13:51:02     

    3S/E	    7SCO0271	    1F	        18051	    4POPS	    3FCT	    0	    0	        20770	        40271	    0	    0	    0	                         	                         	                         	                         	                         	                         	23-dec-2000 12:00:00     	    0	    1A	    0	07-nov-2000 13:51:50     

    3S/E	    7MAI0272	    1F	        18052	    4POPS	    3FCT	    0	    0	          962	        40272	    0	    0	    0	                         	                         	                         	                         	                         	                         	23-dec-2000 12:00:00     	    0	    1A	    0	07-nov-2000 13:52:42     

    3S/E	    7CCA0274	    1F	        18054	    4POPS	    3FCT	    0	    0	        11875	        40274	    0	    0	    0	                         	                         	                         	                         	                         	                         	26-dec-2000 12:00:00     	    0	    1A	    0	07-nov-2000 13:54:28     

    3S/E	    7CFA0276	    1F	        18056	    4POPS	    3FCT	    0	    0	        20288	        40276	    0	    0	    0	                         	                         	                         	                         	                         	                         	26-feb-2001 12:00:00     	    0	    1A	    0	07-nov-2000 14:32:13     

    3S/E	    7YJH0277	    1F	        18057	    4POPS	    3FCT	    0	    0	        20347	        40277	    0	    0	    0	                         	                         	                         	                         	                         	                         	27-dec-2000 12:00:00     	    0	    1A	    0	07-nov-2000 14:33:10     

    3S/E	    7ACT0281	    1F	        18061	    4POPS	    3FCT	    0	    0	        19753	        40281	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    0	07-nov-2000 14:37:18     

    3MIS	    0	    0	        18064	    5POSER	    5PADMN	    0	    0	            0	            0	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6cr2772	07-nov-2000 15:49:03     

    2CH	    0	    0	        18124	    4POPS	    3BCT	    0	    0	            0	            0	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6sm2616	14-nov-2000 09:52:20     

    3S/E	    7CMG0338	    1J	        18127	    5POSER	    5PWHRF	    2JF	    0	        19667	        40338	    0	    0	    0	                         	                         	                         	                         	                         	                         	24-nov-2000 06:04:00     	    0	    1A	    0	14-nov-2000 12:45:32     

    3S/E	    7RRR0339	    1J	        18130	    5POSER	    5PWHRF	    2JF	    0	        20831	        40339	    0	    0	    0	                         	                         	                         	                         	                         	                         	08-feb-2001 00:00:00     	    0	    1A	    0	14-nov-2000 13:19:29     

    3S/E	    7JOF0342	    1J	        18161	    5POSER	    5PWHRF	    2JF	    0	        20442	        40342	    0	    0	    0	                         	                         	                         	                         	                         	                         	03-jan-2001 00:00:00     	    0	    1A	    0	14-nov-2000 15:43:55     

    3S/E	    7KWJ0343	    1B	        18163	    4POPS	    3BCT	    0	    0	        20763	        40343	    0	    0	    0	                         	                         	                         	                         	                         	                         	30-nov-2000 09:00:00     	    0	    1A	    0	14-nov-2000 15:47:13     

    3S/E	    7CWA0348	    1J	        18174	    5POSER	    5PWHRF	    2JF	    0	        19908	        40348	    0	    0	    0	                         	                         	                         	                         	                         	                         	17-jan-2001 00:00:00     	    0	    1A	    0	14-nov-2000 16:34:51     

    3S/E	    7CLO9860	    1F	        18183	    4POPS	    3FCT	    0	    0	        20014	        39860	    0	    0	    0	23-nov-2000 14:22:54     	10-apr-2001 09:40:51     	10-apr-2001 09:46:26     	                         	                         	                         	19-nov-2000 02:08:00     	    0	    1A	    6he2441	10-apr-2001 09:46:26     

    3S/E	    7COH0360	    1F	        18220	    4POPS	    3FCT	    0	    0	        20724	        40360	    0	    0	    0	                         	                         	                         	                         	                         	                         	04-dec-2000 18:00:00     	    0	    1A	    0	15-nov-2000 15:01:44     

    2SH	    0	    0	        18261	    5POSER	    5PWHRF	    2ON	    0	            0	            0	    1X	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6ac5076	16-nov-2000 10:39:09     

    2CH	    0	    0	        18310	    5POSER	    5PWHRF	    2OW	    0	            0	            0	    0	    0	    0	                         	                         	17-nov-2000 08:41:20     	                         	                         	                         	                         	    0	    1A	    6ta5114	17-nov-2000 08:41:23     

    3RCG	    0	    0	        18322	    4POPS	    3BCT	    0	    0	            0	            0	    0	    0	    0	                         	                         	17-nov-2000 09:54:57     	                         	                         	                         	                         	    0	    1A	    6ta5114	17-nov-2000 09:54:58     

    3RCG	    0	    0	        18324	    4POPS	    3FCT	    0	    0	            0	            0	    0	    0	    0	                         	                         	17-nov-2000 10:00:04     	                         	                         	                         	                         	    0	    1A	    6ta5114	17-nov-2000 10:00:06     

    3RCG	    0	    0	        18333	    4POPS	    5ADMIN	    0	    0	            0	            0	    0	    0	    0	                         	                         	17-nov-2000 11:11:48     	                         	                         	                         	                         	    0	    1A	    6ta5114	17-nov-2000 11:11:50     

    3GEN	    0	    1B	        18389	    4POPS	    3BCT	    0	    0	            0	            0	    0	    0	    0	                         	06-dec-2000 14:47:43     	                         	                         	                         	20-nov-2000              	26-nov-2000              	    0	    1A	    6he2441	06-dec-2000 14:47:43     

    3SPK	    0	    0	        18390	    4POPS	    5SEAPK	    2ST	    0	        16327	        39429	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6be2635	21-nov-2000 07:58:15     

    3DEM	    0	    1B	        18397	    4POPS	    3BCT	    0	    0	            0	            0	    0	    0	    0	                         	                         	                         	                         	                         	20-nov-2000              	23-nov-2000              	    0	    1A	    6mo2719	01-feb-2001 14:45:55     

    3SPK	    0	    0	        18430	    4POPS	    5SEAPK	    2SG	    0	        16467	        39623	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6be2635	22-nov-2000 12:19:54     

    3SPK	    0	    0	        18445	    4POPS	    5SEAPK	    2ST	    0	        20288	        39833	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6be2635	23-nov-2000 07:47:27     

    3SPK	    0	    0	        18446	    4POPS	    5SEAPK	    2ST	    0	        20800	        40069	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6be2635	23-nov-2000 07:57:49     

    3SPK	    0	    0	        18447	    4POPS	    5SEAPK	    2ST	    0	        20596	        39849	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6be2635	23-nov-2000 08:09:28     

    3S/E	    7KAR0443	    1B	        18455	    4POPS	    3BCT	    0	    0	        14629	        40443	    0	    0	    0	20-dec-2000 14:46:42     	                         	                         	                         	                         	                         	28-nov-2000 23:17:00     	    0	    1A	    6ng5133	20-dec-2000 14:46:42     

    3SPK	    0	    0	        18462	    4POPS	    5SEAPK	    2ST	    0	        16450	        39558	    1X	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6ac5076	23-nov-2000 13:32:41     

    3SPK	    0	    0	        18473	    4POPS	    5SEAPK	    2ST	    0	        19980	        40126	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6be2635	23-nov-2000 14:49:15     

    2GW	    0	    0	        18485	    5POSER	    5PWHRF	    2JF	    2IM	        20723	        40004	    0	    0	    0	                         	                         	28-nov-2000 14:39:25     	                         	                         	                         	                         	    0	    1A	    6ta5114	28-nov-2000 14:39:27     

    2SH	    0	    0	        18486	    5POSER	    5PMARN	    2AK	    0	        19348	        40129	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:19     

    2SH	    0	    0	        18487	    5POSER	    5PMARN	    2AK	    0	        10463	        40405	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:19     

    2SH	    0	    0	        18488	    5POSER	    5PMARN	    2AK	    0	        20724	        39862	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:19     

    2SH	    0	    0	        18489	    5POSER	    5PMARN	    2AK	    0	        12194	        40106	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:20     

    2SH	    0	    0	        18490	    5POSER	    5PMARN	    2AK	    0	        20637	        39872	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:20     

    2SH	    0	    0	        18491	    5POSER	    5PMARN	    2AK	    0	        20752	        39861	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:20     

    2SH	    0	    0	        18492	    5POSER	    5PMARN	    2AK	    0	        19700	        40177	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:20     

    2SH	    0	    0	        18493	    5POSER	    5PMARN	    2AK	    0	        16341	        39140	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:21     

    2GW	    0	    0	        18497	    5POSER	    5PWHRF	    2JF	    2IM	        19908	        40182	    0	    0	    0	                         	                         	28-nov-2000 14:16:51     	                         	                         	                         	                         	    0	    1A	    6ta5114	28-nov-2000 14:16:54     

    2GW	    0	    0	        18498	    5POSER	    5PWHRF	    2QC	    2EX	        19667	        39444	    0	    0	    0	                         	                         	28-nov-2000 14:25:02     	                         	                         	                         	                         	    0	    1A	    6ta5114	28-nov-2000 14:25:04     

    2SH	    0	    0	        18500	    5POSER	    5PMARN	    2AK	    0	        19627	        40180	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:21     

    2SH	    0	    0	        18501	    5POSER	    5PMARN	    2AK	    0	        19735	        40179	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:21     

    2SH	    0	    0	        18502	    5POSER	    5PMARN	    2AK	    0	        19691	        39857	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:21     

    2SH	    0	    0	        18503	    5POSER	    5PMARN	    2AK	    0	        16180	        40101	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:22     

    2SH	    0	    0	        18504	    5POSER	    5PMARN	    2AK	    0	          917	        39217	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:22     

    3S/E	    7KWR0462	    1B	        18507	    4POPS	    3BCT	    0	    0	        20750	        40462	    0	    0	    0	                         	                         	                         	                         	                         	                         	29-nov-2000 19:00:00     	    0	    1A	    0	26-nov-2000 15:54:13     

    2GW	    0	    0	        18509	    5POSER	    5PWHRF	    2QC	    2IM	        20528	        38870	    0	    0	    0	                         	                         	28-nov-2000 15:26:48     	                         	                         	                         	                         	    0	    1A	    6ta5114	28-nov-2000 15:26:55     

    2SH	    0	    0	        18515	    5POSER	    5PMARN	    2AK	    0	        20528	        38870	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:22     

    2SH	    0	    0	        18516	    5POSER	    5PMARN	    2AK	    0	        20528	        38870	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:22     

    2SH	    0	    0	        18517	    5POSER	    5PMARN	    2AK	    0	        19792	        40233	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:23     

    2SH	    0	    0	        18518	    5POSER	    5PMARN	    2AK	    0	        14629	        39704	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:23     

    2SH	    0	    0	        18519	    5POSER	    5PMARN	    2AK	    0	        19667	        40338	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:23     

    2SH	    0	    0	        18520	    5POSER	    5PMARN	    2AK	    0	        20695	        40302	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:24     

    2SH	    0	    0	        18523	    5POSER	    5PMARN	    2AK	    0	         2072	        40333	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:24     

    2SH	    0	    0	        18524	    5POSER	    5PMARN	    2AK	    0	        20234	        39852	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:24     

    2SH	    0	    0	        18525	    5POSER	    5PMARN	    2AK	    0	        17074	        39134	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:24     

    2SH	    0	    0	        18526	    5POSER	    5PMARN	    2AK	    0	        19651	        39863	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:25     

    2SH	    0	    0	        18528	    5POSER	    5PMARN	    2AK	    0	          464	        39865	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:25     

    2SH	    0	    0	        18530	    5POSER	    5PMARN	    2AK	    0	        20726	        38414	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:25     

    2SH	    0	    0	        18531	    5POSER	    5PMARN	    2AK	    0	        20241	        38221	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:25     

    3S/E	    7BKI0477	    1B	        18533	    4POPS	    3BCT	    0	    0	        20167	        40477	    0	    0	    0	                         	                         	                         	                         	                         	                         	22-dec-2000 00:00:00     	    0	    1A	    0	27-nov-2000 16:09:45     

    2SH	    0	    0	        18535	    5POSER	    5PMARN	    2AK	    0	        20241	        40394	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:26     

    2SH	    0	    0	        18538	    5POSER	    5PMARN	    2AK	    0	        20151	        40216	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:26     

    3S/E	    7NMU0480	    1J	        18539	    5POSER	    5PWHRF	    2JF	    0	        16541	        40480	    0	    0	    0	                         	                         	                         	                         	                         	                         	03-jan-2001 00:00:00     	    0	    1A	    0	27-nov-2000 17:09:52     

    3S/E	    7SCT0481	    1J	        18540	    5POSER	    5PWHRF	    2JF	    0	        20637	        40481	    0	    0	    0	                         	                         	                         	                         	                         	                         	13-jan-2001 00:00:00     	    0	    1A	    0	27-nov-2000 17:18:21     

    2SH	    0	    0	        18542	    5POSER	    5PMARN	    2AK	    0	        20797	        39844	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:26     

    2SH	    0	    0	        18543	    5POSER	    5PMARN	    2AK	    0	        20548	        40185	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:26     

    2SH	    0	    0	        18544	    5POSER	    5PMARN	    2AK	    0	        20454	        39867	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:27     

    2SH	    0	    0	        18545	    5POSER	    5PMARN	    2AK	    0	        18384	        40299	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:27     

    2SH	    0	    0	        18546	    5POSER	    5PMARN	    2AK	    0	        20828	        40205	    0	    1S	    0	                         	                         	28-nov-2000 10:48:17     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 10:48:27     

    2GW	    0	    0	        18547	    5POSER	    5PWHRF	    2WY	    2IM	        16180	        40101	    0	    0	    0	                         	                         	28-nov-2000 10:53:38     	                         	                         	                         	                         	    0	    1A	    6ta5114	28-nov-2000 10:53:40     

    2MT	    0	    1F	        18548	    4POPS	    3FCT	    0	    0	            0	            0	    0	    0	    0	28-nov-2000 10:53:46     	12-jan-2001 16:22:24     	28-nov-2000 10:58:52     	                         	                         	20-nov-2000              	26-nov-2000              	    0	    1A	    6mo2719	12-jan-2001 16:22:24     

    2GW	    0	    0	        18549	    5POSER	    5PWHRF	    2QC	    2IM	         2072	        40333	    0	    0	    0	                         	                         	28-nov-2000 11:00:13     	                         	                         	                         	                         	    0	    1A	    6ta5114	28-nov-2000 11:00:15     

    2GW	    0	    0	        18550	    5POSER	    5PWHRF	    2JF	    2IM	        17074	        39134	    0	    0	    0	                         	                         	28-nov-2000 13:19:35     	                         	                         	                         	                         	    0	    1A	    6ta5114	28-nov-2000 13:19:37     

    2GW	    0	    0	        18552	    5POSER	    5PWHRF	    2JF	    2IM	        20726	        38414	    0	    0	    0	                         	                         	28-nov-2000 13:43:03     	                         	                         	                         	                         	    0	    1A	    6ta5114	28-nov-2000 13:43:05     

    2GW	    0	    0	        18553	    5POSER	    5PWHRF	    2JF	    2IM	        18794	        40305	    0	    0	    0	                         	                         	28-nov-2000 13:55:26     	                         	                         	                         	                         	    0	    1A	    6ta5114	28-nov-2000 13:55:29     

    2CH	    0	    0	        18554	    4POPS	    5CARTG	    0	    0	            0	            0	    0	    0	    0	                         	                         	28-nov-2000 14:46:55     	                         	                         	                         	                         	    0	    1A	    6ac5076	28-nov-2000 14:46:56     

    2GW	    0	    0	        18559	    5POSER	    5PWHRF	    2JF	    2IM	        20226	        40238	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6ta5114	28-nov-2000 15:39:52     

    3GEN	    0	    1J	        18562	    5POSER	    5PWHRF	    2JF	    0	            0	            0	    0	    0	    0	28-nov-2000 17:21:19     	                         	                         	                         	                         	20-nov-2000              	26-nov-2000              	    0	    1A	    6da2244	28-nov-2000 17:28:00     

    3GEN	    0	    1F	        18565	    4POPS	    3FCT	    0	    0	            0	            0	    0	    0	    0	07-mar-2001 15:11:08     	23-feb-2001 14:56:12     	23-feb-2001 15:28:55     	                         	                         	15-feb-2001              	21-feb-2001              	    0	    1A	    6mo2719	07-mar-2001 15:11:08     

