    4CORP	           -1	    8Standard	    0	    0	    0	    0	    0	    0	    0	    0	                         	    0	    0	    0	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14112	   26TAMATEA RAAWHIT FISHING CO	   27TAMATEA RAAWHITI FISHING CO	    0	   1106-757-5999	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14113	   23TASMAN EXPRESS LINE LTD	   23TASMAN EXPRESS LINE LTD	    0	    8356-6355	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14114	   23HORIZON SHIPBROKERS LTD	   23HORIZON SHIPBROKERS LTD	    0	    8378-1538	    8378-4453	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14115	   27ASSOCIATED STEVEDORES DEPT.	   32BHP TRANSPORT NZ LTD STEVEDORING	    0	   1107-574-4481	   1107-575-9378	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14116	   29PACIFIC FREIGHT LOGISTICS LTD	   29PACIFIC FREIGHT LOGISTICS LTD	   12BRIAN WILSON	    8275-5575	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14117	   20EQUAL ENTERPRISE LTD	   20EQUAL ENTERPRISE LTD	    0	   1104-472-4776	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14118	   22TIMPACK INDUSTRIES LTD	   22TIMPACK INDUSTRIES LTD	    0	   11HAM8477-157	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14119	   23BECROFT BROS EXPORT LTD	   23BECROFT BROS EXPORT LTD	    0	    8256-0040	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14120	   27MALCOLM CUSTOMS & CARGO LTD	   27MALCOLM CUSTOMS & CARGO LTD	    0	    8275-3007	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14121	   18ANDERSON & O'LEARY	   18ANDERSON & O'LEARY	   14JEANETTE HAGAN	   1109-416-8164	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14122	   18NISSHO IWAI NZ LTD	   18NISSHO IWAI NZ LTD	    0	    8379-4494	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14123	   19ANCHOR PRODUCTS LTD	   19ANCHOR PRODUCTS LTD	    6ARTHUR	   1107-839-8265	   1107-839-8390	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14126	    6JOANNE	    6JOANNE	    0	   1109-422-9296	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14127	    7KORU II	    7KORU II	    0	    9025431571	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14128	   24TITAN PLANT SERVICES LTD	   24TITAN PLANT SERVICES LTD	    0	    8573-0351	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14130	   14YOUNG MERV LTD	   14MERV YOUNG LTD	    0	    8276-0439	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14131	   19BARCLAY R & SON LTD	   19R BARCLAY & SON LTD	    0	    78464684	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14132	   20ALLIED PERSONNEL LTD	   20ALLIED PERSONNEL LTD	    8MARGARET	    0	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14133	    7BAROONA	   10K E WAGNER	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14134	    6*MAHUA	    6*MAHUA	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14135	    7IMAGINE	    7IMAGINE	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14136	    6YAMAHA	    6YAMAHA	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14137	   18RAMAKA STEEL BARGE	    9K JOHNSON	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14138	   22GREAT BARRIER TRAWLING	   22GREAT BARRIER TRAWLING	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14139	   11VENTURE KAY	   11VENTURE KAY	    9G W GIBBS	   1109-427-8444	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14140	   16ROBERT CHEMICALS	   16ROBERT CHEMICALS	    0	   1104-568-3945	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14141	   16INTERISLAND LINE	   16INTERISLAND LINE	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	07-jan-2000 04:16:15     	                         	    4load	    6cusimp	    0	    1A

    4POPS	        14142	    7MANUWAI	    7MANUWAI	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14143	    5MAHUA	    5MAHUA	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14144	   13TOYOTA NZ LTD	   13TOYOTA NZ LTD	    0	    0	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	28-feb-2001 05:15:10     	                         	    4load	    6cusimp	    0	    1A

    4POPS	        14145	    7BILYARA	    7BILYARA	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14146	   12FAST FERRIES	   12FAST FERRIES	    0	    8828-9003	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14147	    5RANUI	    5RANUI	    0	    74778863	   1003-4777558	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	13-dec-2000 05:20:10     	                         	    4load	    6cusimp	    0	    1I

    4POPS	        14148	    6KARIQA	    6KARIQA	    0	   1103-544-6747	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14149	    4SAGA	    4SAGA	    0	    8445-8239	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14150	    4MANA	    4MANA	    0	    8445-8239	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14151	    6TAURUS	    6TAURUS	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14152	   19BAX GLOBAL (NZ) LTD	   19BAX GLOBAL (NZ) LTD	   11RAY WHEELER	    8255-0200	    8255-0286	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	09-mar-2001 05:15:31     	                         	    4load	    6cusimp	    0	    1A

    4POPS	        14154	   24GFW TEGAL FOODS - HOISTS	   24GFW TEGAL FOODS - HOISTS	    0	    8379-1700	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14155	    6ALISON	    6ALISON	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14156	   13K MART NZ LTD	   34K MART NZ, A DIV. OF COLES MYER NZ	   10TAVITA SAO	    8279-4409	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14157	   12SAN VICTORIA	   12SAN VICTORIA	    0	   1109-436-3672	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14159	   18REGENT FISHING LTD	   18REGENT FISHING LTD	    0	   1109-634-7531	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	23-aug-2000 04:16:15     	                         	    4load	    6cusimp	    0	    1A

    4POPS	        14160	   16SUPERFREIGHT LTD	   16SUPERFREIGHT LTD	    9CHRISTINE	    8275-0199	    8275-0484	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	  244SUPERFREIGHT WILL ACCEPT CHARGES ON BEHALF OF THE FOLLOWING:  LIBERTY PACIFIC, LIBERTY DISTRIBUTION, RHONE POULERVIC JOHN MONK, ALLIED MOVERS & NYK SHIPPING.   ANY OTHER QUERIES RE DEMURRAGE FOR SUPERFREIGHT PLEASE PHONE RAYWIN HEAD ON 275-0199	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14161	   28C J TRANSPORT & DISTRIBUTION	   28C J TRANSPORT & DISTRIBUTION	   13CHRIS MANNING	    8256-0214	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14162	   11WINDWARD VF	   11WINDWARD VF	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14163	    5MANUI	    5MANUI	    0	   1107-895-8559	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14164	   30UNITED CARRIERS LTD - PUKEKOHE	   30UNITED CARRIERS LTD - PUKEKOHE	    0	   1109 238 8233	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	10-apr-2001 05:16:16     	                         	    4load	    6cusimp	    0	    1A

    4POPS	        14165	   22THIRTY SEVEN SOUTH LTD	   22THIRTY SEVEN SOUTH LTD	    0	    8302-0178	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14166	    7ACHERON	    7ACHERON	    0	    8298-1941	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14167	    5LEANN	    5LEANN	    0	   1107-549-0505	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14168	   23SIMS PACIFIC METALS LTD	   23SIMS PACIFIC METALS LTD	    0	    8276-1809	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14169	   18STRANG INTL NZ LTD	   18STRANG INTL NZ LTD	    0	    8303-2105	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	10-mar-2001 05:15:10     	                         	    4load	    6cusimp	    0	    1A

    4POPS	        14170	    8COTOPAXI	    8COTOPAXI	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14171	   28ADVANCED CUSTOMS SERVICE LTD	   28ADVANCED CUSTOMS SERVICE LTD	   14MARTY WHITEMAN	    8307-9050	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	   13test comment		    1Y	     0	10-nov-1999              	28-feb-2001 15:19:02     	                         	    4load	    6he2441	    0	    1A

    4POPS	        14172	   10AIMECS LTD	   10AIMECS LTD	    0	    8377-1115	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14173	   21KUEHNE & NAGEL NZ LTD	   21KUEHNE & NAGEL NZ LTD	   14DAVID LAWRENCE	    8912-3903	    8912-7001	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14174	   29BEAUFORT SHIPPING AGENCY (NZ)	   29BEAUFORT SHIPPING AGENCY (NZ)	   11MURRAY POPE	    8379-6313	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	11-apr-2000 04:16:16     	                         	    4load	    6cusimp	    0	    1A

    4POPS	        14175	   21NUPLEX INDUSTRIES LTD	   21NUPLEX INDUSTRIES LTD	    0	    8579-2029	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14176	   10ZUYDER ZEE	   10ZUYDER ZEE	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14177	   10MISS FLEUR	   10MISS FLEUR	    0	    8372-7440	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	12-dec-2000 05:19:56     	                         	    4load	    6cusimp	    0	    1I

    4POPS	        14178	    5LAYLA	    5LAYLA	    0	    8545-0160	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	15-dec-2000 05:20:11     	                         	    4load	    6cusimp	    0	    1I

    4POPS	        14179	    9STARGAZER	    9STARGAZER	    0	   12025-271-5169	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14180	    6CELTIC	    6CELTIC	    0	    8866-2286	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14181	    4KIWI	    4KIWI	    0	    9078665347	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14182	   22DICKINSONS METAL SALES	   22DICKINSONS METAL SALES	    0	    8478-9820	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14183	    6SANDRA	    6SANDRA	    0	   1107-548-1502	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	15-dec-2000 05:20:11     	                         	    4load	    6cusimp	    0	    1I

    4POPS	        14184	    6EXOCET	    6EXOCET	    0	   1109-409-8825	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14185	    4ATUS	    4ATUS	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14186	   12GYPSY TRADER	   12GYPSY TRADER	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14187	    6TRIONA	    6TRIONA	    0	   11025-441-488	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14188	    6SHARYN	    6SHARYN	    0	    9537-4191A	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14189	   15*POS P&O NZ LTD	   15*POS P&O NZ LTD	    0	    0	    0	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	15-dec-2000 05:20:11     	                         	    4load	    6cusimp	    0	    1I

    4POPS	        14190	   30*TASMAN ORIENT LINE C/O QUADRA	   36*TASMAN ORIENT LINE C/O QUADRANT PAC	    8SHARLENE	    8373-3569	    8377-3569	    1E	    1N	    1Y	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     3	10-nov-1999              	15-feb-2001 05:15:10     	                         	    4load	    6cusimp	    0	    1I

    4POPS	        14191	   24WAIKATO WOOLSCOURERS LTD	   24WAIKATO WOOLSCOURERS LTD	    0	   1107-826-3372	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14192	    8ANNA DEE	    8ANNA DEE	    0	   12025-542-6767	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14193	    7HAKUWAI	    7HAKUWAI	    0	   1103-544-2033	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14194	    6LOUISA	    6LOUISA	    0	   1103-544-2033	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14195	    8MELODEON	    8MELODEON	    0	   1209-422-61619	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14196	    6CHANCE	    6CHANCE	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14197	    6MARINA	    6MARINA	    0	   1003-525-912	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14198	    7MOTUARA	    7MOTUARA	    0	    7510-788	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	15-dec-2000 05:20:11     	                         	    4load	    6cusimp	    0	    1I

    4POPS	        14199	    6KI-LIN	    6KI-LIN	    0	   1107-866-5217	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14200	    5LOTUS	    5LOTUS	    0	   1103-528-7416	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14201	    9QUO VADIS	    9QUO VADIS	    0	    8407-6071	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14202	    8STRANGER	    8STRANGER	    0	   1109-407-8652	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14203	    9TRADEWIND	    9TRADEWIND	    0	   11025-333-598	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14204	    9LIBERATOR	    9LIBERATOR	    0	   11025-331-521	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14205	    8VALLIANT	    8VALLIANT	    0	   11025-440-245	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14206	    7VENTURE	    7VENTURE	    0	    8731-1836	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-jan-2001 05:16:15     	                         	    4load	    6cusimp	    0	    1I

    4POPS	        14207	    5AMIGO	    5AMIGO	    0	    8768-6422	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14208	   14STH ENTERPRISE	   14STH ENTERPRISE	    0	   1103-218-4381	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14209	   18VEGMAK PRODUCE LTD	   18VEGMAK PRODUCE LTD	   14ROSEMARY BALLE	    8238-8317	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

    4POPS	        14211	    6KATANA	    6KATANA	    0	   1107-866-4904	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14212	    7FRANCES	    7FRANCES	    0	   1107-578-5510	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14213	    8ACHERNAR	    8ACHERNAR	    0	   11025-444-648	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14214	    8JENCO II	    8JENCO II	    0	   11025-432-876	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14215	   12KAIPARA STAR	   12KAIPARA STAR	    0	   1107-866-4937	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14216	    7VALIANT	    7VALIANT	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14217	   10SWIFT SURE	   10SWIFT SURE	    0	   11025-384-649	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14218	    5OMEGA	    5OMEGA	    0	   1103-574-2455	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14219	    5TANEA	    5TANEA	    0	    7445-756	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	15-dec-2000 05:20:11     	                         	    4load	    6cusimp	    0	    1I

    4POPS	        14220	    6PARERA	    6PARERA	    0	   1103-548-8968	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4POPS	        14221	    6KELVIN	    6KELVIN	    0	   1103-579-8163	    0	    1E	    1N	    1N	    1P	                         	    5NEXTM	    6AR-EXT	    1S	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

