     1 ,          1 ,     1.00 ,         1.0000 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,     2 ,        101 ,     2.10 ,       101.1234 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   251 ,      25001 ,   276.00 ,     25031.8500 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   252 ,      25101 ,   277.10 ,     25131.9734 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   253 ,      25201 ,   278.20 ,     25232.0968 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   254 ,      25301 ,   279.30 ,     25332.2202 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   255 ,      25401 ,   280.40 ,     25432.3436 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   256 ,      25501 ,   281.50 ,     25532.4670 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   257 ,      25601 ,   282.60 ,     25632.5904 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   258 ,      25701 ,   283.70 ,     25732.7138 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   259 ,      25801 ,   284.80 ,     25832.8372 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   260 ,      25901 ,   285.90 ,     25932.9606 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   261 ,      26001 ,   287.00 ,     26033.0840 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   262 ,      26101 ,   288.10 ,     26133.2074 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   263 ,      26201 ,   289.20 ,     26233.3308 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   264 ,      26301 ,   290.30 ,     26333.4542 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   265 ,      26401 ,   291.40 ,     26433.5776 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   266 ,      26501 ,   292.50 ,     26533.7010 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   267 ,      26601 ,   293.60 ,     26633.8244 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   268 ,      26701 ,   294.70 ,     26733.9478 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   269 ,      26801 ,   295.80 ,     26834.0712 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   270 ,      26901 ,   296.90 ,     26934.1946 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   271 ,      27001 ,   298.00 ,     27034.3180 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   272 ,      27101 ,   299.10 ,     27134.4414 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   273 ,      27201 ,   300.20 ,     27234.5648 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   274 ,      27301 ,   301.30 ,     27334.6882 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   275 ,      27401 ,   302.40 ,     27434.8116 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   276 ,      27501 ,   303.50 ,     27534.9350 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   277 ,      27601 ,   304.60 ,     27635.0584 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   278 ,      27701 ,   305.70 ,     27735.1818 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   279 ,      27801 ,   306.80 ,     27835.3052 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   280 ,      27901 ,   307.90 ,     27935.4286 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   281 ,      28001 ,   309.00 ,     28035.5520 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   282 ,      28101 ,   310.10 ,     28135.6754 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   283 ,      28201 ,   311.20 ,     28235.7988 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   284 ,      28301 ,   312.30 ,     28335.9222 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   285 ,      28401 ,   313.40 ,     28436.0456 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   286 ,      28501 ,   314.50 ,     28536.1690 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   287 ,      28601 ,   315.60 ,     28636.2924 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   288 ,      28701 ,   316.70 ,     28736.4158 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   289 ,      28801 ,   317.80 ,     28836.5392 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   290 ,      28901 ,   318.90 ,     28936.6626 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   291 ,      29001 ,   320.00 ,     29036.7860 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   292 ,      29101 ,   321.10 ,     29136.9094 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   293 ,      29201 ,   322.20 ,     29237.0328 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   294 ,      29301 ,   323.30 ,     29337.1562 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   295 ,      29401 ,   324.40 ,     29437.2796 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   296 ,      29501 ,   325.50 ,     29537.4030 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   297 ,      29601 ,   326.60 ,     29637.5264 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   298 ,      29701 ,   327.70 ,     29737.6498 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   299 ,      29801 ,   328.80 ,     29837.7732 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   300 ,      29901 ,   329.90 ,     29937.8966 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   301 ,      30001 ,   331.00 ,     30038.0200 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   302 ,      30101 ,   332.10 ,     30138.1434 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   303 ,      30201 ,   333.20 ,     30238.2668 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   304 ,      30301 ,   334.30 ,     30338.3902 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   305 ,      30401 ,   335.40 ,     30438.5136 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   306 ,      30501 ,   336.50 ,     30538.6370 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   307 ,      30601 ,   337.60 ,     30638.7604 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   308 ,      30701 ,   338.70 ,     30738.8838 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   309 ,      30801 ,   339.80 ,     30839.0072 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   310 ,      30901 ,   340.90 ,     30939.1306 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   311 ,      31001 ,   342.00 ,     31039.2540 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   312 ,      31101 ,   343.10 ,     31139.3774 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   313 ,      31201 ,   344.20 ,     31239.5008 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   314 ,      31301 ,   345.30 ,     31339.6242 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   315 ,      31401 ,   346.40 ,     31439.7476 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   316 ,      31501 ,   347.50 ,     31539.8710 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   317 ,      31601 ,   348.60 ,     31639.9944 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   318 ,      31701 ,   349.70 ,     31740.1178 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   319 ,      31801 ,   350.80 ,     31840.2412 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   320 ,      31901 ,   351.90 ,     31940.3646 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   321 ,      32001 ,   353.00 ,     32040.4880 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   322 ,      32101 ,   354.10 ,     32140.6114 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   323 ,      32201 ,   355.20 ,     32240.7348 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   324 ,      32301 ,   356.30 ,     32340.8582 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   325 ,      32401 ,   357.40 ,     32440.9816 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   326 ,      32501 ,   358.50 ,     32541.1050 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   327 ,      32601 ,   359.60 ,     32641.2284 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   328 ,      32701 ,   360.70 ,     32741.3518 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   329 ,      32801 ,   361.80 ,     32841.4752 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   330 ,      32901 ,   362.90 ,     32941.5986 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   331 ,      33001 ,   364.00 ,     33041.7220 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   332 ,      33101 ,   365.10 ,     33141.8454 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   333 ,      33201 ,   366.20 ,     33241.9688 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   334 ,      33301 ,   367.30 ,     33342.0922 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   335 ,      33401 ,   368.40 ,     33442.2156 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   336 ,      33501 ,   369.50 ,     33542.3390 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   337 ,      33601 ,   370.60 ,     33642.4624 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   338 ,      33701 ,   371.70 ,     33742.5858 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   339 ,      33801 ,   372.80 ,     33842.7092 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   340 ,      33901 ,   373.90 ,     33942.8326 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   341 ,      34001 ,   375.00 ,     34042.9560 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   342 ,      34101 ,   376.10 ,     34143.0794 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   343 ,      34201 ,   377.20 ,     34243.2028 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   344 ,      34301 ,   378.30 ,     34343.3262 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   345 ,      34401 ,   379.40 ,     34443.4496 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   346 ,      34501 ,   380.50 ,     34543.5730 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   347 ,      34601 ,   381.60 ,     34643.6964 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   348 ,      34701 ,   382.70 ,     34743.8198 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   349 ,      34801 ,   383.80 ,     34843.9432 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   350 ,      34901 ,   384.90 ,     34944.0666 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   351 ,      35001 ,   386.00 ,     35044.1900 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   352 ,      35101 ,   387.10 ,     35144.3134 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   353 ,      35201 ,   388.20 ,     35244.4368 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   354 ,      35301 ,   389.30 ,     35344.5602 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   355 ,      35401 ,   390.40 ,     35444.6836 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   356 ,      35501 ,   391.50 ,     35544.8070 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   357 ,      35601 ,   392.60 ,     35644.9304 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   358 ,      35701 ,   393.70 ,     35745.0538 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   359 ,      35801 ,   394.80 ,     35845.1772 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   360 ,      35901 ,   395.90 ,     35945.3006 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   361 ,      36001 ,   397.00 ,     36045.4240 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   362 ,      36101 ,   398.10 ,     36145.5474 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   363 ,      36201 ,   399.20 ,     36245.6708 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   364 ,      36301 ,   400.30 ,     36345.7942 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   365 ,      36401 ,   401.40 ,     36445.9176 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   366 ,      36501 ,   402.50 ,     36546.0410 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   367 ,      36601 ,   403.60 ,     36646.1644 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   368 ,      36701 ,   404.70 ,     36746.2878 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   369 ,      36801 ,   405.80 ,     36846.4112 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   370 ,      36901 ,   406.90 ,     36946.5346 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   371 ,      37001 ,   408.00 ,     37046.6580 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   372 ,      37101 ,   409.10 ,     37146.7814 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   373 ,      37201 ,   410.20 ,     37246.9048 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   374 ,      37301 ,   411.30 ,     37347.0282 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   375 ,      37401 ,   412.40 ,     37447.1516 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   376 ,      37501 ,   413.50 ,     37547.2750 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   377 ,      37601 ,   414.60 ,     37647.3984 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   378 ,      37701 ,   415.70 ,     37747.5218 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   379 ,      37801 ,   416.80 ,     37847.6452 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   380 ,      37901 ,   417.90 ,     37947.7686 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   381 ,      38001 ,   419.00 ,     38047.8920 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   382 ,      38101 ,   420.10 ,     38148.0154 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   383 ,      38201 ,   421.20 ,     38248.1388 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   384 ,      38301 ,   422.30 ,     38348.2622 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   385 ,      38401 ,   423.40 ,     38448.3856 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   386 ,      38501 ,   424.50 ,     38548.5090 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   387 ,      38601 ,   425.60 ,     38648.6324 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   388 ,      38701 ,   426.70 ,     38748.7558 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   389 ,      38801 ,   427.80 ,     38848.8792 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   390 ,      38901 ,   428.90 ,     38949.0026 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   391 ,      39001 ,   430.00 ,     39049.1260 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   392 ,      39101 ,   431.10 ,     39149.2494 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   393 ,      39201 ,   432.20 ,     39249.3728 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   394 ,      39301 ,   433.30 ,     39349.4962 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   395 ,      39401 ,   434.40 ,     39449.6196 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   396 ,      39501 ,   435.50 ,     39549.7430 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   397 ,      39601 ,   436.60 ,     39649.8664 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   398 ,      39701 ,   437.70 ,     39749.9898 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
   399 ,      39801 ,   438.80 ,     39850.1132 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,   400 ,      39901 ,   439.90 ,     39950.2366 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
